NN_bg_geo_id,NN_Score,kNN_bg_geo_id,kNN_Score,DT_bg_geo_id,DT_Score
530530714063.00,4,530330081003.00,4,530330074014.00,3
530530718061.00,5,530330081002.00,3,530330074013.00,3
530530718071.00,5,530330081001.00,3,530330074012.00,3
530530609062.00,4,530530608006.00,3,530330074011.00,3
530530611006.00,4,530330323222.00,3,530330303112.00,3
530530613001.00,5,530330028004.00,4,530330303111.00,3
530530626001.00,4,530330028003.00,3,530530730062.00,3
530530628011.00,5,530330028002.00,4,530330081003.00,3
530530712103.00,4,530330028001.00,3,530330260024.00,4
530530713071.00,4,530330320062.00,3,530330260023.00,4
530530718031.00,5,530530629004.00,3,530330260022.00,4
530530718052.00,5,530530629003.00,3,530330260021.00,3
530530718083.00,5,530330322142.00,3,530330227011.00,3
530530726022.00,4,530330323075.00,3,530330320055.00,1
530530734052.00,4,530330323074.00,4,530330320054.00,1
530530602001.00,4,530330209003.00,3,530330320053.00,1
530530605003.00,4,530330209002.00,4,530330320052.00,1
530530612004.00,4,530330209001.00,4,530330250014.00,3
530530616011.00,4,530530634001.00,3,530330250013.00,3
530530616021.00,4,530530731181.00,4,530330250012.00,3
530530631002.00,4,530330041005.00,4,530330250011.00,3
530530635014.00,3,530330117004.00,3,530330282003.00,3
530530712071.00,4,530330117003.00,4,530670123102.00,3
530530714112.00,5,530330117002.00,3,530330286001.00,3
530530715041.00,4,530330117001.00,4,530670122222.00,3
530530717051.00,4,530530733011.00,4,530530713042.00,4
530530718034.00,4,530330289014.00,3,530330322071.00,3
530530718062.00,5,530330289013.00,4,530330088003.00,3
530530723112.00,5,530330289012.00,3,530530626002.00,3
530530724071.00,4,530330289011.00,3,530530626001.00,3
530530733022.00,4,530330033005.00,4,530530604001.00,3
530530734063.00,5,530330033004.00,3,530670121004.00,3
530530734072.00,5,530330033003.00,3,530330303124.00,3
530530612001.00,5,530330033002.00,4,530330303123.00,3
530530718072.00,4,530530633001.00,3,530330303122.00,3
530530733012.00,4,530530717052.00,3,530330303121.00,3
530530730061.00,4,530530719022.00,3,530530729051.00,4
530330001001.00,4,530530717053.00,4,530530628023.00,3
530330001002.00,4,530539400053.00,3,530530714111.00,3
530330001003.00,4,530530606006.00,4,530530714112.00,3
530330001004.00,4,530530606005.00,4,530530714113.00,3
530330001005.00,4,530530606004.00,4,530530729053.00,4
530330002001.00,4,530330292053.00,3,530530603001.00,3
530330002002.00,4,530530606002.00,4,530330317031.00,4
530330002003.00,4,530530606001.00,3,530530615002.00,3
530330002004.00,4,530530731171.00,4,530330271002.00,3
530330002005.00,4,530530731172.00,3,530330271001.00,3
530330002006.00,4,530539400021.00,3,530330232013.00,4
530330003001.00,4,530330054003.00,3,530530607001.00,3
530330003002.00,4,530330219044.00,3,530330304014.00,3
530330004011.00,4,530330219043.00,4,530330304015.00,3
530330004012.00,4,530330219042.00,3,530530734061.00,3
530330004013.00,4,530330219041.00,3,530530634001.00,3
530330004021.00,4,530330253012.00,3,530530635012.00,3
530330004022.00,4,530330253011.00,3,530530634003.00,3
530330004023.00,4,530330248001.00,3,530530634006.00,3
530330004024.00,4,530330058013.00,4,530330316032.00,3
530330005001.00,4,530330313022.00,3,530530714102.00,3
530330005002.00,4,530330313021.00,3,530530714103.00,2
530330005003.00,4,530670126205.00,3,530330277024.00,1
530330006001.00,4,530330320081.00,3,530330053011.00,3
530330006002.00,4,530330113004.00,4,530330277022.00,4
530330006003.00,5,530330113003.00,3,530330277021.00,1
530330006004.00,4,530330113002.00,4,530330322122.00,3
530330006005.00,4,530330258033.00,4,530530619001.00,2
530330006006.00,4,530330258032.00,3,530330067002.00,3
530330007001.00,4,530330258031.00,3,530330067001.00,3
530330007002.00,4,530330292063.00,3,530330115001.00,3
530330007003.00,4,530539400046.00,3,530330323194.00,4
530330007004.00,4,530530730012.00,4,530330323193.00,4
530330008001.00,4,530530730014.00,4,530330323192.00,4
530330008002.00,4,530330251022.00,4,530330301005.00,3
530330009001.00,4,530330043022.00,4,530330301004.00,3
530330009002.00,4,530330043021.00,4,530330301003.00,3
530330010001.00,5,530530707031.00,3,530330060004.00,3
530330010002.00,3,530530707032.00,3,530330301001.00,3
530330011001.00,4,530330224003.00,4,530330060002.00,3
530330011002.00,4,530330224004.00,4,530330060001.00,3
530330012001.00,4,530330219054.00,3,530670102003.00,2
530330012002.00,4,530330219053.00,4,530330260015.00,3
530330012003.00,4,530330077001.00,4,530330260014.00,4
530330012004.00,4,530330219051.00,4,530330260013.00,3
530330012005.00,4,530530607001.00,3,530330260012.00,3
530330013001.00,4,530530607002.00,4,530330260011.00,3
530330013002.00,4,530530607003.00,4,530330319081.00,1
530330013003.00,4,530330301006.00,4,530530628014.00,3
530330014001.00,4,530530702041.00,4,530670116104.00,3
530330014002.00,4,530530607006.00,4,530330277015.00,3
530330014003.00,4,530530701004.00,4,530530731153.00,4
530330014004.00,4,530530715044.00,3,530530609031.00,3
530330015001.00,4,530530715043.00,4,530330306002.00,3
530330015002.00,4,530530715042.00,4,530330004013.00,3
530330016001.00,3,530330299023.00,4,530330004012.00,3
530330016002.00,4,530330299022.00,4,530330004011.00,3
530330016003.00,4,530330299021.00,4,530330104024.00,3
530330017011.00,4,530330043013.00,3,530330104023.00,3
530330017012.00,4,530330043012.00,4,530330104022.00,3
530330017013.00,4,530530731191.00,4,530330104021.00,3
530330017021.00,4,530530714093.00,3,530330322082.00,3
530330017022.00,4,530330223002.00,3,530530726011.00,1
530330017023.00,4,530330223001.00,4,530330304032.00,3
530330017024.00,4,530330082002.00,4,530330304033.00,3
530330018001.00,4,530330082001.00,4,530530715061.00,2
530330018002.00,4,530530724102.00,4,530530715062.00,2
530330018003.00,4,530330317063.00,4,530670117201.00,4
530330019001.00,4,530330302025.00,4,530530715063.00,2
530330019002.00,4,530330303094.00,3,530330318001.00,4
530330019003.00,4,530330303093.00,3,530330240002.00,4
530330020001.00,4,530330303092.00,3,530330240003.00,3
530330020002.00,4,530330303091.00,3,530330084002.00,3
530330020003.00,4,530330002006.00,4,530330084001.00,3
530330021001.00,4,530330257023.00,4,530530608001.00,3
530330021002.00,4,530330236034.00,3,530330108003.00,3
530330021003.00,4,530330236033.00,4,530330287001.00,3
530330022001.00,4,530330236032.00,3,530330108001.00,3
530330022002.00,4,530330236031.00,4,530330294053.00,3
530330022003.00,4,530330059003.00,4,530330004024.00,3
530330022004.00,4,530330118006.00,3,530330004023.00,3
530330024001.00,4,530330118005.00,4,530330067004.00,3
530330024002.00,4,530330118004.00,4,530330067003.00,3
530330024003.00,4,530330118003.00,4,530530721072.00,3
530330025001.00,3,530330118002.00,3,530330207003.00,3
530330025002.00,4,530330118001.00,4,530330207002.00,3
530330026001.00,4,530530726032.00,3,530330300046.00,3
530330026002.00,4,530330317043.00,4,530330300045.00,3
