Address_Line,City,State,Postal_Code,Property_Type,bg_geo_id,CS_ID,url,Price,SquareFeet,Building_Class,Year_Built,Sale_Type,Picture_url,Upload_Date,Currently_listed,Sale_Lease,old_CS_ID
3130 S 23rd St,Tacoma,WA,98405,Retail,530530611001,LN-21468327,https://www.loopnet.com/Listing/420-N-Meridian-Puyallup-WA/21468327/,13700000,61484,B,1991,Investment,,,,,LN-21271463
20416 98th St E,Bonney Lake,WA,98391,Retail,,LN-22320844,https://www.loopnet.com/Listing/20416-98th-St-E-Bonney-Lake-WA/22320844/,3300000,2313,C,2020,Investment,N/A,2021-03-02,true,Sale,
22320 Meridian St E,Graham,WA,98338,Retail,,LN-22096400,https://www.loopnet.com/Listing/22320-Meridian-St-E-Graham-WA/22096400/,7725000,14334,B,2007,Investment NNN,N/A,2021-03-02,true,Sale,
Puyallup Office Complex/Parking Garage,N/A,N/A,N/A,N/A,,LN-21923276,https://www.loopnet.com/Listing/Puyallup-Office-Complex-Parking-Garage/21923276/,7000000,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
9401 Wa-302,Gig Harbor,WA,98329,Industrial,,LN-21796700,https://www.loopnet.com/Listing/9401-Wa-302-Gig-Harbor-WA/21796700/,795000,3575,C,1940,Investment,N/A,2021-03-02,true,Sale,
Spanaway Contractor Yard with 2 Offices,N/A,N/A,N/A,N/A,,LN-21634551,https://www.loopnet.com/Listing/Spanaway-Contractor-Yard-with-2-Offices/21634551/,650000,,N/A,N/A,InvestmentorOwnerUser,N/A,2021-03-02,true,Sale,
15518 Meridian Ave E,Puyallup,WA,98375,Retail,,LN-21599257,https://www.loopnet.com/Listing/15518-Meridian-Ave-E-Puyallup-WA/21599257/,2495000,3344,B,1972,Investment,N/A,2021-03-02,true,Sale,
22606-22610 SR 410 Est,Bonney Lake,WA,98391,Land,,LN-21178590,https://www.loopnet.com/Listing/22606-22610-SR-410-Est-Bonney-Lake-WA/21178590/,1399000,,N/A,N/A,InvestmentorOwnerUser,N/A,2021-03-02,true,Sale,
9918 162nd St Ct E,Puyallup,WA,98375,Industrial(Condo),,LN-21178181,https://www.loopnet.com/Listing/9918-162nd-St-Ct-E-Puyallup-WA/21178181/,392500,,B,2000,Investment,N/A,2021-03-02,true,Sale,
18406 Veterans Memorial Dr,Bonney Lake,WA,98391,Land,,LN-21177960,https://www.loopnet.com/Listing/18406-Veterans-Memorial-Dr-Bonney-Lake-WA/21177960/,750000,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
10012 225th St Ct,Graham,WA,98338,Land,,LN-21165916,https://www.loopnet.com/Listing/10012-225th-St-Ct-Graham-WA/21165916/,475000,,N/A,N/A,InvestmentorOwnerUser,N/A,2021-03-02,true,Sale,
Phelps Tire Factory,N/A,N/A,N/A,N/A,,LN-20292461,https://www.loopnet.com/Listing/Phelps-Tire-Factory/20292461/,2300000,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
Nisqually Power Station,N/A,N/A,N/A,N/A,,LN-20204306,https://www.loopnet.com/Listing/Nisqually-Power-Station/20204306/,3650000,,N/A,N/A,InvestmentorOwnerUser,N/A,2021-03-02,true,Sale,
37715 Milton Rd S,Milton,WA,98354,Land,,LN-20007582,https://www.loopnet.com/Listing/37715-Milton-Rd-S-Milton-WA/20007582/,130000,,N/A,N/A,OwnerUser,N/A,2021-03-02,true,Sale,
2412 136th Ave Ct E,Sumner,WA,98390,Retail,,LN-19962444,https://www.loopnet.com/Listing/2412-136th-Ave-Ct-E-Sumner-WA/19962444/,5560000,3010,C,2020,Investment,N/A,2021-03-02,true,Sale,
6314 19th St W,Fircrest,WA,98466,Office(Condo),,LN-19859913,https://www.loopnet.com/Listing/6314-19th-St-W-Fircrest-WA/19859913/,350000,,C,1985,InvestmentorOwnerUser,N/A,2021-03-02,true,Sale,
Midland Commercial - Tacoma/Parkland,N/A,N/A,N/A,N/A,,LN-19639036,https://www.loopnet.com/Listing/Midland-Commercial-Tacoma-Parkland/19639036/,600000,,N/A,N/A,InvestmentorOwnerUser,N/A,2021-03-02,true,Sale,
4723 E Freeman Rd,Puyallup,WA,98371,Land,530539400101,LN-21058749,https://www.loopnet.com/Listing/4201-S-Steele-St-Tacoma-WA/21058749/,1650000,,B,N/A,Investment,,,,,LN-/3788534
119 Mashell Ave S,Eatonville,WA,98328,Retail,530530732003,LN-21081765,https://www.loopnet.com/Listing/119-Mashell-Ave-S-Eatonville-WA/21081765/,359000,1464,B,1950/2020,Investment,N/A,2021-02-26,true,Sale,
11311 164th St E,Puyallup,WA,98374,IndustrialOfficeIndustrialLiveWorkUnit,530530731113,LN-20637101,https://www.loopnet.com/Listing/11311-164th-St-E-Puyallup-WA/20637101/,1500000,2113,C,1976/1986,InvestmentorOwnerUser,N/A,2021-02-26,true,Sale,
5412 176th St E,Puyallup,WA,98375,Land,530530731082,LN-3884778,https://www.loopnet.com/Listing/5412-176th-St-E-Puyallup-WA/3884778/,,,N/A,N/A,OwnerUser,N/A,2021-02-26,true,Sale,
8306-8314 166th St E,Puyallup,WA,98375,Land,530530731081,LN-3839013,https://www.loopnet.com/Listing/8306-8314-166th-St-E-Puyallup-WA/3839013/,1200000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
5804 384th St E,Eatonville,WA,98328,Industrial,530530730061,LN-12170475,https://www.loopnet.com/Listing/5804-384th-St-E-Eatonville-WA/12170475/,700000,26552,C,N/A,OwnerUser,N/A,2021-02-26,true,Sale,
40724 S Silver Lake Rd E,Eatonville,WA,98328,Multifamily,530530730061,LN-21666019,https://www.loopnet.com/Listing/40724-S-Silver-Lake-Rd-E-Eatonville-WA/21666019/,950000,,C,1950,Investment,N/A,2021-02-26,true,Sale,
35026 90th Ave S,Roy,WA,98580,Land,530530730011,LN-3833911,https://www.loopnet.com/Listing/35026-90th-Ave-S-Roy-WA/3833911/,,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
8717 Key Peninsula Hwy NW,Lakebay,WA,98349,Land,530530726022,LN-20107835,https://www.loopnet.com/Listing/8717-Key-Peninsula-Hwy-NW-Lakebay-WA/20107835/,815000,,N/A,N/A,OwnerUser,N/A,2021-02-26,true,Sale,
5715 Wollochet Dr NW,Gig Harbor,WA,98335,Office,530530724071,LN-17149505,https://www.loopnet.com/Listing/5715-Wollochet-Dr-NW-Gig-Harbor-WA/17149505/,997950,6000,B,1992,Owner User,N/A,2021-02-26,true,Sale,
5601 Soundview Dr,Gig Harbor,WA,98335,Retail,530530724071,LN-18591703,https://www.loopnet.com/Listing/5601-Soundview-Dr-Gig-Harbor-WA/18591703/,1780000,6686,B,1982,Owner User,N/A,2021-02-26,true,Sale,
6802 27th St W,University Place,WA,98466,Land,530530723112,LN-12239253,https://www.loopnet.com/Listing/6802-27th-St-W-University-Place-WA/12239253/,6862442,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
2901-2915 Bridgeport Way W,University Place,WA,98466,HealthCare,530530723112,LN-21459049,https://www.loopnet.com/Listing/2901-2915-Bridgeport-Way-W-University-Place-WA/21459049/,9800000,,C,1969/2017,Investment,N/A,2021-02-26,true,Sale,
