cs_id,model_id,score,date_calculated
LN-21178181,10,3,2021-03-12
LN-3726167,10,3,2021-03-12
LN-16845083,10,1,2021-03-12
20058903,10,2,2021-03-12
LN-18337628,10,3,2021-03-12
LN-21634551,10,1,2021-03-12
LN-8625418,10,1,2021-03-12
LN-21177908,10,3,2021-03-12
LN-8895301,10,1,2021-03-12
LN-13929508,10,3,2021-03-12
LN-17665091,10,1,2021-03-12
LN-16122969,10,1,2021-03-12
LN-20007582,10,1,2021-03-12
LN-17212434,10,1,2021-03-12
LN-21490344,10,1,2021-03-12
21468327,10,3,2021-03-12
LN-6176568,10,3,2021-03-12
LN-12170223,10,1,2021-03-12
LN-19639036,10,1,2021-03-12
LN-22202096,10,3,2021-03-12
LN-21796700,10,2,2021-03-12
20742136,10,2,2021-03-12
LN-18819368,4,1,2021-03-05
LN-20432592,4,3,2021-03-05
LN-17033691,4,1,2021-03-05
LN-18181149,4,3,2021-03-05
LN-12239253,4,1,2021-03-05
LN-18591703,4,3,2021-03-05
LN-18729587,4,2,2021-03-05
LN-20257323,4,4,2021-03-05
LN-18181205,4,3,2021-03-05
LN-20886717,4,2,2021-03-05
LN-18288967,4,3,2021-03-05
LN-20058903,4,2,2021-03-05
LN-17692757,4,1,2021-03-05
LN-17149505,4,2,2021-03-05
LN-17569293,4,3,2021-03-05
LN-17868872,4,1,2021-03-05
LN-18918096,4,2,2021-03-05
LN-16681285,4,2,2021-03-05
LN-19626041,4,2,2021-03-05
LN-16445283,4,1,2021-03-05
LN-19627971,4,1,2021-03-05
LN-11150078,4,2,2021-03-05
LN-21769054,4,2,2021-03-05
LN-20769216,4,1,2021-03-05
LN-19374344,4,3,2021-03-05
LN-15108367,4,2,2021-03-05
LN-20107835,4,1,2021-03-05
LN-18710758,4,1,2021-03-05
LN-20205607,4,3,2021-03-05
LN-12170475,4,3,2021-03-05
LN-14192655,4,2,2021-03-05
LN-14109212,4,4,2021-03-05
LN-20432592,3,2,2021-03-08
LN-12170475,3,2,2021-03-08
LN-11150078,3,3,2021-03-08
LN-14109212,3,4,2021-03-08
LN-18819368,3,2,2021-03-08
LN-16445283,3,1,2021-03-08
LN-18181149,3,3,2021-03-08
LN-21177908,3,1,2021-03-08
LN-18591703,3,2,2021-03-08
LN-21099885,3,1,2021-03-08
LN-20637101,3,1,2021-03-08
LN-21229870,3,2,2021-03-08
LN-18181205,3,3,2021-03-08
LN-16681285,3,2,2021-03-08
LN-20886717,3,2,2021-03-08
21058749,3,2,2021-03-08
LN-14192655,3,2,2021-03-08
LN-19626041,3,2,2021-03-08
18771550,3,4,2021-03-08
LN-21081765,3,3,2021-03-08
LN-18771550,3,2,2021-03-08
LN-21227269,3,1,2021-03-08
LN-18918096,3,2,2021-03-08
LN-20257323,3,3,2021-03-08
LN-20058903,3,2,2021-03-08
LN-17692757,3,1,2021-03-08
LN-19627971,3,2,2021-03-08
LN-12239253,3,4,2021-03-08
LN-22202096,3,2,2021-03-08
LN-3945583,3,1,2021-03-08
LN-21666019,3,2,2021-03-08
LN-22173561,3,3,2021-03-08
LN-21889127,3,2,2021-03-08
LN-21548454,3,3,2021-03-08
LN-22087491,3,2,2021-03-08
LN-21948843,3,3,2021-03-08
LN-3788534,3,2,2021-03-08
LN-21571284,3,1,2021-03-08
LN-21333154,3,4,2021-03-08
LN-21816101,3,2,2021-03-08
LN-21468327,3,1,2021-03-08
LN-3958478,3,1,2021-03-08
LN-21673589,3,3,2021-03-08
LN-22076954,3,4,2021-03-08
LN-22249951,3,2,2021-03-08
LN-5650350,3,2,2021-03-08
LN-3884778,3,1,2021-03-08
LN-22244199,3,2,2021-03-08
LN-22076689,3,2,2021-03-08
LN-21975731,3,2,2021-03-08
LN-22154019,3,2,2021-03-08
LN-21423976,3,2,2021-03-08
