"Block.Group.ID","Average.Block.Group.Score","Population","Population..3.Miles","Households..3.Miles","Kids.under.5","Kids.under.5..3.Miles","Kids.5.to.9","Kids.5.to.9..3.Miles","Average.Age","Household.income.under.40K..3.Mile","Household.income.40K.to.50K..3.Mile","Household.income.50K.to.60K..3.Mile","Household.income.60K.to.75K..3.Mile","Household.income.75K.to.100K..3.Mile","Household.income.100K.to.125K..3.Mile","Household.income.125K.to.150K..3.Mile","Household.income.150K.to.200K..3.Mile","Household.income.200K...3.Mile","Predicted.Score"
530530714063,5,667,75025,24389,0.022,0.076,0.031,0.085,37.7,0.195,0.062,0.094,0.129,0.191,0.127,0.09,0.069,0.042,3.97181071984743
530530718061,5,2464,63750,24638,0.093,0.082,0.115,0.071,28.9,0.427,0.106,0.093,0.101,0.121,0.063,0.041,0.023,0.025,4.51245427611043
530530718071,5,1941,102851,39157,0.141,0.083,0.111,0.07,25.6,0.382,0.109,0.105,0.112,0.122,0.07,0.049,0.033,0.019,4.51252321713249
530530609062,4,811,91774,39281,0.065,0.056,0.055,0.058,49.3,0.307,0.087,0.072,0.103,0.135,0.101,0.063,0.068,0.063,4.04889621545326
530530611006,4,918,123058,52812,0.05,0.056,0.056,0.06,35.9,0.336,0.092,0.075,0.101,0.135,0.094,0.055,0.059,0.052,4.31397008018622
530530613001,4,969,99509,42030,0.078,0.052,0.074,0.06,34,0.35,0.097,0.073,0.1,0.131,0.09,0.055,0.062,0.044,4.5110135234576
530530626001,4,1240,135925,53134,0.055,0.07,0.072,0.064,29.7,0.362,0.099,0.095,0.104,0.132,0.09,0.048,0.042,0.027,4.38792336821378
530530628011,4,1699,143376,59266,0.111,0.062,0.11,0.062,31.8,0.343,0.098,0.088,0.107,0.13,0.095,0.051,0.052,0.036,4.51160717201444
530530712103,4,3413,60854,22396,0.092,0.063,0.055,0.062,38.2,0.243,0.079,0.063,0.133,0.137,0.121,0.08,0.08,0.063,4.16413987901071
530530713071,4,1246,72712,26145,0.061,0.061,0.059,0.062,39.9,0.24,0.087,0.072,0.126,0.14,0.123,0.08,0.086,0.046,4.32390173087183
530530718031,4,1624,108756,42297,0.091,0.077,0.063,0.065,26,0.368,0.106,0.101,0.109,0.124,0.076,0.055,0.037,0.025,4.51210347075903
530530718052,4,1222,94621,36064,0.119,0.084,0.046,0.066,33.4,0.396,0.106,0.107,0.114,0.117,0.07,0.047,0.027,0.017,4.51240050880239
530530718083,4,751,110890,41454,0.075,0.08,0.149,0.073,31.3,0.399,0.114,0.102,0.118,0.119,0.069,0.038,0.027,0.015,4.51112190492273
