CS_ID,Address_Line,City,Postal_Code,Property_Type,Year_Built,Price,SquareFeet,Price/SQFT,Sale_Type,Score,,,
20742136,1201 39th Ave SW,Puyallup,98373,Land,N/A,2850000,1682,1409,Investment,5,,,
21769054,5110 Chicago Ave SW,Tacoma,98499,Multifamily,1977,5750000,262250,219,Investment,2,,,
LN-20886717,4023 S Orchard,Tacoma,98466,Industrial,1980,2807600,23384,120,Investment,2,,,
20058903,1401 S Union Ave,Tacoma,98405,Office,1975,1750000,4886,358,Investment,2,,,
LN-20956338,10821 Valley Ave E,Puyallup,98372,Land,N/A,2400000,14355,434,Investment,3,,,
LN-20769216,12505 Canyon Rd E,Puyallup,98373,Land,N/A,740520,13372,55,Investment,1,,,
LN-18771550,8217 S Hosmer St,Tacoma,98408,Land,N/A,1190000,129373,9,Investment,2,,,
LN-21468327,3130 S 23rd St,Tacoma,98405,Retail,N/A,13700000,61484,223,Investment,3,,,
3788534,4723 E Freeman Rd,Puyallup,98371,Land,N/A,3300000,6737,490,Investment,3,,,
11150078,5408 Steilacoom Blvd SW,Lakewood,98499,Retail,1927/1978,365000,4400,83,Owner User,2,,,
12170475,5804 384th St E,Eatonville,98328,Industrial,N/A,700000,26552,26,OwnerUser,3,,,
12239253,6802 27th St W,University Place,98466,Land,N/A,6862442,315376,22,Investment,1,,,
14109212,401 E 15th St,Tacoma,98421,Specialty,1998,5750000,84285,68,Investment,4,,,
14192655,11619 Pacific Hwy SW,Lakewood,98499,Retail,1963,700000,4208,166,Owner User,2,,,
15108367,2512 Holgate St,Tacoma,98402,Industrial,1890,3895000,28800,135,Investment,2,,,
16445283,12221 Shaw Rd,Puyallup,98374,Land,N/A,2300000,245678.4,9,Investment,1,,,
16681285,1502 6th Ave,Tacoma,98405,Retail,1963,795000,1747,455,Investment,2,,,
17033691,412 23rd St,Puyallup,98372,Land,N/A,800000,49222.8,16,Investment,1,,,
17149505,5715 Wollochet Dr NW,Gig Harbor,98335,Office,1992,997950,6000,166,Owner User,2,,,
17569293,2401 N Pearl St,Tacoma,98406,Retail,1986/1991,4740000,43327,109,Investment NNN,3,,,
17692757,12716 86th Ave E,Puyallup,98373,Land,N/A,1150000,217800,5,Investment,1,,,
17868872,16504 64th St E,Sumner,98390,Land,N/A,3200000,44431.2,72,Investment,1,,,
18181149,21509 Mountain Hwy E,Spanaway,98387,Land,N/A,600000,70567.2,9,Investment,3,,,
18181205,18811 38th Ave E,Tacoma,98446,Land,N/A,495000,42688.8,12,Investment,3,,,
18288967,9402 Front St S,Lakewood,98499,Land,N/A,230000,34412.4,7,Investment,3,,,
18591703,5601 Soundview Dr,Gig Harbor,98335,Retail,1982,1780000,6686,266,Owner User,3,,,
18710758,8217 S Hosmer St,Tacoma,98408,Land,N/A,1190000,37026,32,Investment,1,,,
18729587,6722 Yakima Ave,Tacoma,98408,OfficeOfficeGeneral Retail Daycare CenterGeneral Retail StorefrontGeneral Retail Storefront Retail/OfficeOffice,1920/1994,629900,3226,195,Investment or Owner User,2,,,
18771550,10117 S Tacoma Way,Lakewood,98499,Sports&Entertainment,2003,8800000,25000,352,OwnerUser,3,,,
18819368,16313 64th St E,Sumner,98390,Land,N/A,950000,52675,290,Investment,1,,,
18918096,4412 6th Ave,Tacoma,98406,OfficeOfficeGeneral Retail Convenience StoreGeneral Retail RestaurantGeneral Retail Storefront Retail/OfficeOffice,1946/1981,695000,3648,191,Investment or Owner User,2,,,
19374344,2213 N Warner St,Tacoma,98406,Specialty,1909/1977,1100000,9680,114,Investment,3,,,
19626041,1824 S Meridian St,Puyallup,98371,Office,1975,575000,1728,333,Owner User,2,,,
19627971,12811 Pacific Ave S,Tacoma,98444,Retail,2020,1470000,575,2557,Investment,1,,,
20058903,1401 S Union Ave,Tacoma,98405,Office,1975,1750000,4886,358,Investment,2,,,
20107835,8717 Key Peninsula Hwy NW,Lakebay,98349,Land,N/A,815000,291852,3,OwnerUser,1,,,
20205607,6403-6413 Steilacoom Blvd SW,Lakewood,98499,Retail,1944,1250000,9982,125,Investment or Owner User,3,,,
20257323,1009-1013 Pacific Ave,Tacoma,98402,Retail,1928,3500000,30368,115,Owner User,4,,,
20432592,10209 Bridgeport Way SW,Lakewood,98499,Office,1980,2800000,14437,194,Investment,3,,,
20637101,11311 164th St E,Puyallup,98374,IndustrialOfficeIndustrialLiveWorkUnit,1976/1986,1500000,2113,710,InvestmentorOwnerUser,1,,,
20742136,9810 Pacific Ave,Tacoma,98444,Retail,2017,2370000,1682,1409,Investment,1,,,
20956338,4404 S Meridian,Puyallup,98373,Retail,2002,6230000,14355,434,Investment,2,,,
21058749,4201 S Steele St,Tacoma,98409,Retail,1993,3300000,6737,490,Owner User,2,,,
21081765,119 Mashell Ave S,Eatonville,98328,Retail,1950/2020,359000,1464,245,Investment,3,,,
21099885,1950 S State St,Tacoma,98405,Flex,1974,17250000,242000,71,InvestmentorOwnerUser,1,,,
21227269,1720 S 7th St,Tacoma,98405,Industrial,1950,4950000,37450,132,InvestmentorOwnerUser,1,,,
21229870,2202 84th St S,Lakewood,98499,Retail,2000,1499000,4995,300,Investment or Owner User,1,,,
21333154,120 136th St S,Tacoma,98444,Multifamily,1969/2015,7900000,39460,200,Investment,4,,,
21423976,808 N 2nd St,Tacoma,98403,Office,1985,899000,2044,440,Investment or Owner User,2,,,
