CS_ID,Address_Line,url,City,Postal_Code,Property_Type,Year_Built,Price,SquareFeet,$ per sq ft,Sale_Type,Block Group ID,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Kids under 5: 3 Miles,Kids 5 to 9,Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
LN-19627971,12811 Pacific Ave S,https://www.loopnet.com/Listing/12811-Pacific-Ave-S-Tacoma-WA/19627971/,Tacoma,98444,Retail,2020,1470000,575,2557,Investment,5.30531E+11,1927,91619,33177,144,6493,0,6398,29.7,0.377,0.111,0.105,0.112,0.139,0.067,0.037,0.036,0.016
LN-21081765,119 Mashell Ave S,https://www.loopnet.com/Listing/119-Mashell-Ave-S-Eatonville-WA/21081765/,Eatonville,98328,Retail,1950/2020,359000,1464,245,Investment,5.30531E+11,1547,1547,580,106,106,72,72,41.2,0.248,0.067,0.045,0.112,0.241,0.109,0.124,0.034,0.019
LN-21948843,3418 Pacific Ave,https://www.loopnet.com/Listing/3418-Pacific-Ave-Tacoma-WA/21948843/,Tacoma,98418,Retail,1996,340000,1473,231,Owner User,5.30531E+11,892,115864,45382,31,6843,45,7476,51.1,0.375,0.097,0.09,0.11,0.126,0.091,0.045,0.041,0.026
20742136,9810 Pacific Ave,https://www.loopnet.com/Listing/9810-Pacific-Ave-Tacoma-WA/20742136/,Tacoma,98444,Retail,2017,2370000,1682,1409,Investment,5.30531E+11,1355,101715,36573,71,7286,33,6709,37.3,0.381,0.11,0.107,0.113,0.132,0.069,0.038,0.034,0.016
LN-19626041,1824 S Meridian St,https://www.loopnet.com/Listing/1824-S-Meridian-St-Puyallup-WA/19626041/,Puyallup,98371,Office,1975,575000,1728,333,Owner User,5.30531E+11,1853,76656,29210,138,4580,70,4040,33.7,0.259,0.088,0.077,0.126,0.137,0.115,0.064,0.081,0.053
LN-16681285,1502 6th Ave,https://www.loopnet.com/Listing/1502-6th-Ave-Tacoma-WA/16681285/,Tacoma,98405,Retail,1963,795000,1747,455,Investment,5.30531E+11,969,99509,42030,76,5208,72,5922,34,0.35,0.097,0.073,0.1,0.131,0.09,0.055,0.062,0.044
LN-5650350,9321 S Tacoma Way,https://www.loopnet.com/Listing/9321-S-Tacoma-Way-Lakewood-WA/5650350/,Lakewood,98499,Retail,1947,1100000,2032,541,Owner User,5.30531E+11,751,110890,41454,56,8821,112,8080,31.3,0.399,0.114,0.102,0.118,0.119,0.069,0.038,0.027,0.015
LN-21423976,808 N 2nd St,https://www.loopnet.com/Listing/808-N-2nd-St-Tacoma-WA/21423976/,Tacoma,98403,Office,1985,899000,2044,440,Investment or Owner User,5.30531E+11,1479,79774,33393,0,3972,66,4625,37.6,0.328,0.088,0.069,0.095,0.135,0.096,0.062,0.073,0.055
LN-20637101,11311 164th St E,https://www.loopnet.com/Listing/11311-164th-St-E-Puyallup-WA/20637101/,Puyallup,98374,IndustrialOfficeIndustrialLiveWorkUnit,1976/1986,1500000,2113,710,InvestmentorOwnerUser,5.30531E+11,908,70615,23665,0,5325,32,5350,38.5,0.2,0.075,0.076,0.117,0.168,0.128,0.092,0.086,0.058
LN-21548454,3414 Pacific Ave,https://www.loopnet.com/Listing/3414-Pacific-Ave-Tacoma-WA/21548454/,Tacoma,98418,Retail,1940,500000,2604,192,Owner User,5.30531E+11,892,115864,45382,31,6843,45,7476,51.1,0.375,0.097,0.09,0.11,0.126,0.091,0.045,0.041,0.026
