Reliabills_Cust_ID,Postal_Code,Status,Date_Created
7108,98366,Inactive,1/30/2016
7109,98403,Inactive,1/30/2016
7110,98367,Inactive,1/30/2016
7111,98406,Active,10/21/2020
7112,98418,Inactive,1/30/2016
7113,98057,Inactive,1/30/2016
7114,98498,Inactive,1/30/2016
7115,98422,Active,10/21/2020
7116,98402,Inactive,1/30/2016
7117,98407,Active,10/21/2020
7118,98405,Inactive,1/30/2016
7119,98407,Active,10/21/2020
7120,98335,Inactive,1/30/2016
7121,98465,Active,10/16/2020
7122,98409,Inactive,1/30/2016
7123,98126,Active,10/16/2020
7124,98465,Inactive,1/30/2016
7125,98403,Inactive,1/30/2016
7126,98403,Inactive,1/30/2016
7127,98403,Inactive,1/30/2016
7128,98405,Inactive,1/30/2016
7129,98467,Inactive,1/30/2016
7130,98406,Inactive,1/30/2016
7131,98465,Inactive,1/30/2016
7132,98403,Inactive,1/30/2016
7133,98407,Active,10/15/2020
7179,55424,Inactive,2/3/2016
7185,98405,Inactive,2/4/2016
7186,98402,Inactive,2/4/2016
7187,98402,Inactive,2/4/2016
7188,98407,Active,9/24/2020
7189,98003,Inactive,2/4/2016
7190,98407,Inactive,2/4/2016
7191,98001,Inactive,2/4/2016
7192,98406,Active,9/24/2020
7208,98403,Inactive,2/9/2016
7209,98375,Inactive,2/9/2016
7242,98422,Active,9/22/2020
7243,98406,Inactive,2/18/2016
8579,98335,Inactive,3/1/2016
8580,98402,Active,9/22/2020
8581,98406,Inactive,3/1/2016
8582,98406,Active,9/22/2020
8583,98403,Active,9/22/2020
8584,98405,Inactive,3/1/2016
8634,98409,Inactive,3/2/2016
8682,98404,Active,9/22/2020
8763,98371,Inactive,3/7/2016
8772,98499,Inactive,3/8/2016
9010,98407,Inactive,4/6/2016
9011,98404,Inactive,4/6/2016
9012,98406,Inactive,4/6/2016
9013,98445,Inactive,4/6/2016
9136,98407,Inactive,4/19/2016
9137,98405,Active,9/22/2020
9138,98406,Inactive,4/19/2016
9139,98466,Inactive,4/19/2016
9141,98402,Inactive,4/19/2016
9142,98388,Inactive,4/19/2016
9562,98402,Inactive,6/2/2016
9563,98407,Inactive,6/2/2016
9855,98407,Inactive,6/29/2016
13826,98406,Active,9/22/2020
14361,98407,Inactive,8/4/2016
14362,98388,Active,9/22/2020
14364,98406,Active,9/22/2020
14441,98407,Inactive,8/8/2016
15202,98407,Active,9/22/2020
15203,98466,Active,9/22/2020
15204,98407,Inactive,9/7/2016
15205,98406,Inactive,9/7/2016
15206,98312,Inactive,9/7/2016
15207,98466,Inactive,9/7/2016
15208,98332,Inactive,9/7/2016
15209,98107,Inactive,9/7/2016
16414,98403,Inactive,11/13/2016
16415,98408,Active,2/20/2020
19721,98418,Inactive,1/4/2017
19722,98405,Inactive,1/4/2017
19723,98408,Active,11/11/2019
19724,98038,Active,11/11/2019
19725,98404,Inactive,1/4/2017
19791,98038,Inactive,1/9/2017
20806,98404,Inactive,2/3/2017
20807,98465,Inactive,2/3/2017
21107,98405,Active,10/28/2019
21109,98465,Active,10/3/2019
21707,98405,Active,9/23/2019
21954,98466,Inactive,2/27/2017
21996,98405,Inactive,3/1/2017
22384,98499,Inactive,3/13/2017
22388,98023,Inactive,3/13/2017
24094,98406,Active,7/19/2019
29846,98422,Inactive,7/17/2017
29866,98407,Active,2/15/2019
30062,98405,Active,1/23/2019
30107,98406,Inactive,7/31/2017
30219,98406,Inactive,8/4/2017
30308,98406,Active,1/23/2019
31143,98204,Inactive,9/11/2017
31195,98403,Active,12/27/2018
31271,98406,Inactive,9/20/2017
31313,98373,Inactive,9/25/2017
31405,98403,Inactive,10/2/2017
31965,98407,Active,10/26/2018
32591,98402,Inactive,11/29/2017
32800,98466,Inactive,12/15/2017
32999,98402,Active,10/1/2018
35223,98407,Active,9/17/2018
35522,98407,Active,8/29/2018
35531,98405,Active,8/29/2018
35624,98467,Active,8/27/2018
35796,98406,Active,8/27/2018
39766,98338,Active,8/17/2018
39913,98406,Active,7/13/2018
40006,98406,Inactive,4/30/2018
41197,98407,Active,5/18/2018
42305,98445,Inactive,7/3/2018
42306,98032,Inactive,7/3/2018
42408,98374,Inactive,7/10/2018
42462,98405,Active,4/25/2018
42463,98403,Inactive,7/13/2018
44487,98418,Active,4/24/2018
44779,98406,Active,2/20/2018
44782,98405,Active,2/5/2018
44838,98407,Active,1/30/2018
44842,98409,Active,1/29/2018
45227,98407,Inactive,9/17/2018
45228,98418,Active,1/16/2018
45557,98406,Inactive,9/20/2018
45912,98403,Inactive,10/1/2018
45915,98403,Active,12/20/2017
46609,98408,Active,10/26/2017
47044,98499,Inactive,11/12/2018
47518,98405,Inactive,11/28/2018
47548,98404,Active,10/25/2017
49100,98407,Active,9/14/2017
49887,98406,Active,8/10/2017
49889,98498,Active,7/28/2017
50688,98409,Active,7/18/2017
50939,98406,Active,6/21/2017
57898,98373,Active,5/24/2017
58306,98405,Active,5/2/2017
59601,98406,Active,4/28/2017
59740,98446,Active,2/17/2017
60102,98038,Active,2/8/2017
61016,98407,Active,2/8/2017
61390,98406,Active,1/4/2017
61391,98338,Active,1/4/2017
66197,98407,Active,11/13/2016
74279,98409,Active,2/4/2016
75925,98406,Active,1/30/2016
