cs_id,model_id,score,date_calculated
LN-21178181,Build_KNN_v.4,2,3/12/2021
LN-3726167,Build_KNN_v.4,3,3/12/2021
LN-16845083,Build_KNN_v.4,3,3/12/2021
20058903,Build_KNN_v.4,2,3/12/2021
LN-18337628,Build_KNN_v.4,3,3/12/2021
LN-21634551,Build_KNN_v.4,3,3/12/2021
LN-8625418,Build_KNN_v.4,1,3/12/2021
LN-21177908,Build_KNN_v.4,3,3/12/2021
LN-8895301,Build_KNN_v.4,3,3/12/2021
LN-13929508,Build_KNN_v.4,1,3/12/2021
LN-17665091,Build_KNN_v.4,1,3/12/2021
LN-16122969,Build_KNN_v.4,2,3/12/2021
LN-20007582,Build_KNN_v.4,1,3/12/2021
LN-17212434,Build_KNN_v.4,1,3/12/2021
LN-21490344,Build_KNN_v.4,1,3/12/2021
21468327,Build_KNN_v.4,2,3/12/2021
LN-6176568,Build_KNN_v.4,1,3/12/2021
LN-12170223,Build_KNN_v.4,1,3/12/2021
LN-19639036,Build_KNN_v.4,3,3/12/2021
LN-22202096,Build_KNN_v.4,2,3/12/2021
LN-21796700,Build_KNN_v.4,2,3/12/2021
20742136,Build_KNN_v.4,3,3/12/2021
LN-21178590,Build_KNN_v.4,1,3/12/2021
LN-3788534,Build_KNN_v.4,1,3/12/2021
LN-22244199,Build_KNN_v.4,2,3/12/2021
LN-21923276,Build_KNN_v.4,2,3/12/2021
LN-21599257,Build_KNN_v.4,3,3/12/2021
20956338,Build_KNN_v.4,2,3/12/2021
LN-20292461,Build_KNN_v.4,2,3/12/2021
LN-11493457,Build_KNN_v.4,1,3/12/2021
LN-3934491,Build_KNN_v.4,1,3/12/2021
LN-19962444,Build_KNN_v.4,2,3/12/2021
LN-4000808,Build_KNN_v.4,4,3/12/2021
LN-3945583,Build_KNN_v.4,2,3/12/2021
LN-22093926,Build_KNN_v.4,2,3/12/2021
LN-3857046,Build_KNN_v.4,1,3/12/2021
LN-21165916,Build_KNN_v.4,3,3/12/2021
LN-22173561,Build_KNN_v.4,2,3/12/2021
LN-3839013,Build_KNN_v.4,1,3/12/2021
21058749,Build_KNN_v.4,1,3/12/2021
LN-7336077,Build_KNN_v.4,1,3/12/2021
LN-19859913,Build_KNN_v.4,2,3/12/2021
LN-20204306,Build_KNN_v.4,1,3/12/2021
LN-19771017,Build_KNN_v.4,1,3/12/2021
LN-22096400,Build_KNN_v.4,3,3/12/2021
LN-3958478,Build_KNN_v.4,2,3/12/2021
LN-6176664,Build_KNN_v.4,1,3/12/2021
18771550,Build_KNN_v.4,1,3/12/2021
LN-22320844,Build_KNN_v.4,2,3/12/2021
LN-14058037,Build_KNN_v.4,1,3/12/2021
21769054,Build_KNN_v.4,2,3/12/2021
LN-17213558,Build_KNN_v.4,1,3/12/2021
LN-22249951,Build_KNN_v.4,2,3/12/2021
LN-22243531,Build_KNN_v.4,1,3/12/2021
LN-21177960,Build_KNN_v.4,1,3/12/2021
LN-18918096,Build_KNN_v.4,2,3/12/2021
LN-22087491,Build_KNN_v.4,3,3/12/2021
LN-12170475,Build_KNN_v.4,2,3/12/2021
LN-18288967,Build_KNN_v.4,3,3/12/2021
LN-21948843,Build_KNN_v.4,2,3/12/2021
LN-22154019,Build_KNN_v.4,2,3/12/2021
LN-21571284,Build_KNN_v.4,1,3/12/2021
LN-11150078,Build_KNN_v.4,2,3/12/2021
LN-17868872,Build_KNN_v.4,1,3/12/2021
LN-21673589,Build_KNN_v.4,2,3/12/2021
LN-21548454,Build_KNN_v.4,2,3/12/2021
LN-17149505,Build_KNN_v.4,2,3/12/2021
LN-21959583,Build_KNN_v.4,1,3/12/2021
LN-18729587,Build_KNN_v.4,2,3/12/2021
LN-18591703,Build_KNN_v.4,2,3/12/2021
LN-21889127,Build_KNN_v.4,3,3/12/2021
LN-21769054,Build_KNN_v.4,2,3/12/2021
LN-12239253,Build_KNN_v.4,2,3/12/2021
LN-18771550,Build_KNN_v.4,3,3/12/2021
LN-17692757,Build_KNN_v.4,1,3/12/2021
LN-17569293,Build_KNN_v.4,3,3/12/2021
LN-21459049,Build_KNN_v.4,4,3/12/2021
LN-15108367,Build_KNN_v.4,2,3/12/2021
LN-18819368,Build_KNN_v.4,1,3/12/2021
LN-19627971,Build_KNN_v.4,2,3/12/2021
LN-20742136,Build_KNN_v.4,3,3/12/2021
LN-21481019,Build_KNN_v.4,3,3/12/2021
LN-20742136,Build_KNN_v.4,3,3/12/2021
LN-21666019,Build_KNN_v.4,2,3/12/2021
LN-20257323,Build_KNN_v.4,4,3/12/2021
LN-20769216,Build_KNN_v.4,2,3/12/2021
LN-18710758,Build_KNN_v.4,1,3/12/2021
LN-5650350,Build_KNN_v.4,2,3/12/2021
LN-21099885,Build_KNN_v.4,3,3/12/2021
LN-20956338,Build_KNN_v.4,2,3/12/2021
LN-21058749,Build_KNN_v.4,2,3/12/2021
LN-20886717,Build_KNN_v.4,2,3/12/2021
LN-22076954,Build_KNN_v.4,4,3/12/2021
LN-22145016,Build_KNN_v.4,2,3/12/2021
LN-20058903,Build_KNN_v.4,2,3/12/2021
LN-21975731,Build_KNN_v.4,1,3/12/2021
LN-16681285,Build_KNN_v.4,2,3/12/2021
LN-21229870,Build_KNN_v.4,2,3/12/2021
LN-22076689,Build_KNN_v.4,2,3/12/2021
LN-19626041,Build_KNN_v.4,2,3/12/2021
LN-21227269,Build_KNN_v.4,3,3/12/2021
LN-21816101,Build_KNN_v.4,2,3/12/2021
LN-20058903,Build_KNN_v.4,2,3/12/2021
LN-21468327,Build_KNN_v.4,3,3/12/2021
LN-14109212,Build_KNN_v.4,4,3/12/2021
LN-14192655,Build_KNN_v.4,2,3/12/2021
LN-16445283,Build_KNN_v.4,1,3/12/2021
LN-17033691,Build_KNN_v.4,1,3/12/2021
LN-18181149,Build_KNN_v.4,1,3/12/2021
LN-18181205,Build_KNN_v.4,3,3/12/2021
LN-18771550,Build_KNN_v.4,3,3/12/2021
LN-19374344,Build_KNN_v.4,1,3/12/2021
LN-20107835,Build_KNN_v.4,1,3/12/2021
LN-20205607,Build_KNN_v.4,2,3/12/2021
LN-20432592,Build_KNN_v.4,3,3/12/2021
LN-20637101,Build_KNN_v.4,2,3/12/2021
LN-20956338,Build_KNN_v.4,2,3/12/2021
LN-21058749,Build_KNN_v.4,2,3/12/2021
LN-21081765,Build_KNN_v.4,3,3/12/2021
LN-21333154,Build_KNN_v.4,2,3/12/2021
LN-21423976,Build_KNN_v.4,2,3/12/2021
LN-3833911,Build_KNN_v.4,1,3/12/2021
LN-3884778,Build_KNN_v.4,1,3/12/2021
