cs_id,model_id,score,date_calculated
LN-21178181,12,2,2021-03-12
LN-3726167,12,3,2021-03-12
LN-16845083,12,3,2021-03-12
20058903,12,2,2021-03-12
LN-18337628,12,3,2021-03-12
LN-21634551,12,3,2021-03-12
LN-8625418,12,1,2021-03-12
LN-21177908,12,3,2021-03-12
LN-8895301,12,3,2021-03-12
LN-13929508,12,1,2021-03-12
LN-17665091,12,1,2021-03-12
LN-16122969,12,2,2021-03-12
LN-20007582,12,1,2021-03-12
LN-17212434,12,1,2021-03-12
LN-21490344,12,1,2021-03-12
21468327,12,2,2021-03-12
LN-6176568,12,1,2021-03-12
LN-12170223,12,1,2021-03-12
LN-19639036,12,3,2021-03-12
LN-22202096,12,2,2021-03-12
LN-21796700,12,2,2021-03-12
20742136,12,3,2021-03-12
LN-21178590,12,1,2021-03-12
LN-3788534,12,1,2021-03-12
LN-22244199,12,2,2021-03-12
LN-21923276,12,2,2021-03-12
LN-21599257,12,3,2021-03-12
20956338,12,2,2021-03-12
LN-20292461,12,2,2021-03-12
LN-11493457,12,1,2021-03-12
LN-3934491,12,1,2021-03-12
LN-19962444,12,2,2021-03-12
LN-4000808,12,4,2021-03-12
LN-3945583,12,2,2021-03-12
LN-22093926,12,2,2021-03-12
LN-3857046,12,1,2021-03-12
LN-21165916,12,3,2021-03-12
LN-22173561,12,2,2021-03-12
LN-3839013,12,1,2021-03-12
21058749,12,1,2021-03-12
LN-7336077,12,1,2021-03-12
LN-19859913,12,2,2021-03-12
LN-20204306,12,1,2021-03-12
LN-19771017,12,1,2021-03-12
LN-22096400,12,3,2021-03-12
LN-3958478,12,2,2021-03-12
LN-6176664,12,1,2021-03-12
18771550,12,1,2021-03-12
LN-22320844,12,2,2021-03-12
LN-14058037,12,1,2021-03-12
21769054,12,2,2021-03-12
LN-17213558,12,1,2021-03-12
LN-22249951,12,2,2021-03-12
LN-22243531,12,1,2021-03-12
LN-21177960,12,1,2021-03-12
LN-18918096,12,2,2021-03-12
LN-22087491,12,3,2021-03-12
LN-12170475,12,2,2021-03-12
LN-18288967,12,3,2021-03-12
LN-21948843,12,2,2021-03-12
LN-22154019,12,2,2021-03-12
LN-21571284,12,1,2021-03-12
LN-11150078,12,2,2021-03-12
LN-17868872,12,1,2021-03-12
LN-21673589,12,2,2021-03-12
LN-21548454,12,2,2021-03-12
LN-17149505,12,2,2021-03-12
LN-21959583,12,1,2021-03-12
LN-18729587,12,2,2021-03-12
LN-18591703,12,2,2021-03-12
LN-21889127,12,3,2021-03-12
LN-21769054,12,2,2021-03-12
LN-12239253,12,2,2021-03-12
LN-18771550,12,3,2021-03-12
LN-17692757,12,1,2021-03-12
LN-17569293,12,3,2021-03-12
LN-21459049,12,4,2021-03-12
LN-15108367,12,2,2021-03-12
LN-18819368,12,1,2021-03-12
LN-19627971,12,2,2021-03-12
LN-20742136,12,3,2021-03-12
LN-21481019,12,3,2021-03-12
LN-20742136,12,3,2021-03-12
LN-21666019,12,2,2021-03-12
LN-20257323,12,4,2021-03-12
LN-20769216,12,2,2021-03-12
LN-18710758,12,1,2021-03-12
LN-5650350,12,2,2021-03-12
LN-21099885,12,3,2021-03-12
LN-20956338,12,2,2021-03-12
LN-21058749,12,2,2021-03-12
LN-20886717,12,2,2021-03-12
LN-22076954,12,4,2021-03-12
LN-22145016,12,2,2021-03-12
LN-20058903,12,2,2021-03-12
LN-21975731,12,1,2021-03-12
LN-16681285,12,2,2021-03-12
LN-21229870,12,2,2021-03-12
LN-22076689,12,2,2021-03-12
LN-19626041,12,2,2021-03-12
LN-21227269,12,3,2021-03-12
LN-21816101,12,2,2021-03-12
LN-20058903,12,2,2021-03-12
LN-21468327,12,3,2021-03-12
LN-14109212,12,4,2021-03-12
LN-14192655,12,2,2021-03-12
LN-16445283,12,1,2021-03-12
LN-17033691,12,1,2021-03-12
LN-18181149,12,1,2021-03-12
LN-18181205,12,3,2021-03-12
LN-18771550,12,3,2021-03-12
LN-19374344,12,1,2021-03-12
LN-20107835,12,1,2021-03-12
LN-20205607,12,2,2021-03-12
LN-20432592,12,3,2021-03-12
LN-20637101,12,2,2021-03-12
LN-20956338,12,2,2021-03-12
LN-21058749,12,2,2021-03-12
LN-21081765,12,3,2021-03-12
LN-21333154,12,2,2021-03-12
LN-21423976,12,2,2021-03-12
LN-3833911,12,1,2021-03-12
LN-3884778,12,1,2021-03-12
