 Population , Population: 3 Miles , Households: 3 Miles , Kids under 5 , Kids under 5: 3 Miles , Kids 5 to 9 , Kids 5 to 9: 3 Miles ,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile,Area Score
1355.00,101715.00,36573.00,0.05,0.07,0.02,0.07,37.30,0.38,0.11,0.11,0.11,0.13,0.07,0.04,0.03,0.02,3.00
1312.00,73212.00,28276.00,0.08,0.08,0.05,0.07,26.90,0.44,0.10,0.10,0.10,0.12,0.06,0.04,0.02,0.02,5.00
1699.00,143376.00,59266.00,0.11,0.06,0.11,0.06,31.80,0.34,0.10,0.09,0.11,0.13,0.10,0.05,0.05,0.04,4.00
718.00,123755.00,52855.00,0.02,0.06,0.02,0.06,51.40,0.35,0.09,0.08,0.10,0.13,0.10,0.05,0.05,0.04,2.00
2397.00,84205.00,31551.00,0.07,0.06,0.05,0.05,29.30,0.25,0.09,0.08,0.12,0.14,0.12,0.07,0.08,0.05,3.00
660.00,97625.00,38336.00,0.08,0.08,0.00,0.06,42.30,0.36,0.10,0.10,0.11,0.13,0.08,0.06,0.04,0.03,4.00
1941.00,102851.00,39157.00,0.14,0.08,0.11,0.07,25.60,0.38,0.11,0.11,0.11,0.12,0.07,0.05,0.03,0.02,5.00
1332.00,55084.00,21326.00,0.05,0.06,0.03,0.05,43.50,0.25,0.09,0.09,0.12,0.14,0.12,0.06,0.09,0.05,3.00
1332.00,55084.00,21326.00,0.05,0.06,0.03,0.05,43.50,0.25,0.09,0.09,0.12,0.14,0.12,0.06,0.09,0.05,3.00
2261.00,142235.00,55505.00,0.07,0.07,0.06,0.06,34.90,0.36,0.10,0.09,0.10,0.13,0.09,0.05,0.04,0.03,4.00
1941.00,102851.00,39157.00,0.14,0.08,0.11,0.07,25.60,0.38,0.11,0.11,0.11,0.12,0.07,0.05,0.03,0.02,3.00
2389.00,2389.00,903.00,0.05,0.05,0.08,0.08,47.70,0.24,0.05,0.06,0.13,0.16,0.15,0.16,0.03,0.02,1.00
1153.00,97429.00,40132.00,0.13,0.07,0.09,0.06,28.50,0.32,0.10,0.09,0.10,0.15,0.09,0.06,0.05,0.05,3.00
2414.00,69923.00,27762.00,0.00,0.06,0.00,0.06,35.00,0.32,0.08,0.07,0.10,0.13,0.10,0.07,0.07,0.06,3.00
1312.00,73212.00,28276.00,0.08,0.08,0.05,0.07,26.90,0.44,0.10,0.10,0.10,0.12,0.06,0.04,0.02,0.02,3.00
816.00,107453.00,42360.00,0.03,0.06,0.01,0.06,35.30,0.37,0.10,0.08,0.10,0.13,0.10,0.05,0.05,0.03,3.00
3413.00,60854.00,22396.00,0.09,0.06,0.06,0.06,38.20,0.24,0.08,0.06,0.13,0.14,0.12,0.08,0.08,0.06,4.00
969.00,99509.00,42030.00,0.08,0.05,0.07,0.06,34.00,0.35,0.10,0.07,0.10,0.13,0.09,0.06,0.06,0.04,4.00
2689.00,59798.00,23233.00,0.13,0.06,0.09,0.05,27.20,0.25,0.09,0.09,0.11,0.15,0.11,0.06,0.09,0.06,3.00
1853.00,27355.00,10629.00,0.05,0.05,0.05,0.05,40.40,0.20,0.06,0.07,0.09,0.15,0.14,0.08,0.09,0.13,2.00
811.00,91774.00,39281.00,0.07,0.06,0.06,0.06,49.30,0.31,0.09,0.07,0.10,0.14,0.10,0.06,0.07,0.06,4.00
1246.00,72712.00,26145.00,0.06,0.06,0.06,0.06,39.90,0.24,0.09,0.07,0.13,0.14,0.12,0.08,0.09,0.05,4.00
1586.00,46139.00,17301.00,0.04,0.06,0.06,0.06,43.90,0.20,0.09,0.09,0.11,0.15,0.12,0.07,0.10,0.07,3.00
1617.00,42406.00,13944.00,0.10,0.08,0.06,0.09,31.90,0.25,0.07,0.10,0.14,0.18,0.09,0.09,0.06,0.03,3.00
667.00,75025.00,24389.00,0.02,0.08,0.03,0.09,37.70,0.20,0.06,0.09,0.13,0.19,0.13,0.09,0.07,0.04,5.00
751.00,110890.00,41454.00,0.07,0.08,0.15,0.07,31.30,0.40,0.11,0.10,0.12,0.12,0.07,0.04,0.03,0.02,4.00
1853.00,27355.00,10629.00,0.05,0.05,0.05,0.05,40.40,0.20,0.06,0.07,0.09,0.15,0.14,0.08,0.09,0.13,4.00
905.00,137762.00,50662.00,0.05,0.08,0.09,0.07,45.60,0.39,0.12,0.11,0.12,0.13,0.08,0.03,0.03,0.02,3.00
1274.00,127633.00,46364.00,0.08,0.07,0.04,0.08,43.10,0.38,0.12,0.10,0.12,0.13,0.08,0.04,0.03,0.02,3.00
1924.00,101780.00,38691.00,0.08,0.08,0.07,0.07,33.80,0.41,0.11,0.10,0.11,0.12,0.07,0.04,0.03,0.01,2.00
909.00,42506.00,15896.00,0.01,0.07,0.02,0.06,56.50,0.19,0.09,0.09,0.11,0.15,0.12,0.07,0.10,0.08,2.00
918.00,123058.00,52812.00,0.05,0.06,0.06,0.06,35.90,0.34,0.09,0.08,0.10,0.14,0.09,0.06,0.06,0.05,4.00
712.00,92988.00,40399.00,0.06,0.05,0.05,0.06,44.80,0.33,0.09,0.07,0.10,0.13,0.10,0.06,0.07,0.06,3.00
1853.00,76656.00,29210.00,0.07,0.06,0.04,0.05,33.70,0.26,0.09,0.08,0.13,0.14,0.12,0.06,0.08,0.05,4.00
1927.00,91619.00,33177.00,0.07,0.07,0.00,0.07,29.70,0.38,0.11,0.11,0.11,0.14,0.07,0.04,0.04,0.02,3.00
718.00,123755.00,52855.00,0.02,0.06,0.02,0.06,51.40,0.35,0.09,0.08,0.10,0.13,0.10,0.05,0.05,0.04,3.00
1832.00,2734.00,989.00,0.02,0.03,0.07,0.06,40.50,0.21,0.09,0.08,0.15,0.11,0.12,0.05,0.11,0.09,4.00
660.00,97625.00,38336.00,0.08,0.08,0.00,0.06,42.30,0.36,0.10,0.10,0.11,0.13,0.08,0.06,0.04,0.03,3.00
1899.00,89129.00,36525.00,0.03,0.05,0.00,0.06,41.40,0.36,0.09,0.08,0.10,0.13,0.09,0.05,0.06,0.04,3.00
1222.00,94621.00,36064.00,0.12,0.08,0.05,0.07,33.40,0.40,0.11,0.11,0.11,0.12,0.07,0.05,0.03,0.02,4.00
