"model_id","bg_geo_id","score","date_obtained"
"3MS_KNN_v.2","530330001001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330001002","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330001003","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330001004","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330001005","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330002001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330002002","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330002003","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330002004","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330002005","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330002006","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330003001","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330003002","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330004011","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330004012","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330004013","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330004021","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330004022","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330004023","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330004024","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330005001","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330005002","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330005003","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330006001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330006002","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330006003","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330006004","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330006005","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330006006","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330007001","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330007002","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330007003","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330007004","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330008001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330008002","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330009001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330009002","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330010001","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330010002","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330011001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330011002","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330012001","3","Wed Mar 10 08:26:29 2021"
