"CS_ID","Address_Line","City","Postal_Code","Property_Type","Year_Built","Price","SquareFeet","$ per sq ft","Sale_Type","Tacoma","Puyallup","Land","Multifamily","Industrial","Office","Retail","Investment","OwnerUser","InvestmentNNN","Investment_or_Owner_User","Score.Predict"
"20058903","1401 S Union Ave","Tacoma","98405","Office","1975",0.106753812636166,0.0421474581769313,0.173191771731918,"Investment",1,0,0,0,0,1,0,1,0,0,0,3.96108147189907
"20742136","9810 Pacific Ave","Tacoma","98444","Retail","2017",0.16078431372549,0.00502803651698411,0.870603848706038,"Investment",1,0,0,0,0,0,1,1,0,0,0,1.12294626486108
"20956338","4404 S Meridian","Puyallup","98373","Retail","2002",0.497167755991285,0.151849019880439,0.223623092236231,"Investment",0,1,0,0,0,0,1,1,0,0,0,3.38123431136974
"21058749","4201 S Steele St","Tacoma","98409","Retail","1993",0.241830065359477,0.0635919180684925,0.26078301260783,"Owner User",1,0,0,0,0,0,1,0,0,0,0,4.46620134042811
"21468327","420 N Meridian","Puyallup","98371","Office","1961/2007",0.040958605664488,0.034477964687891,0.0922362309223623,"Owner User",0,1,0,0,0,1,0,0,0,0,0,2.21501192147948
"LN-12577036","3520 Pacific Hwy E","Fife","98424","Retail","1985",1,0.403447796468789,0.156602521566025,"Investment",0,0,0,0,0,0,1,1,0,0,0,0.86100552695093
"LN-17472115","10901 Bridgeport Way SW","Lakewood","98499","Office","1976",0.0148148148148148,0.0185597108299736,0.0975447909754479,"Owner User",0,0,0,0,0,1,0,0,0,0,0,2.02632303347826
"LN-21177908","1119 Pacific Ave","Tacoma","98402","Office","1912/1986",0.694989106753813,1,0,"Investment",1,0,0,0,0,1,0,1,0,0,0,-0.0890969896302019
"LN-21228625","6419 Lakewood Dr W","Tacoma","98467","Office","1985",0.0588235294117647,0.0569766903007554,0.0650298606502986,"Owner User",1,0,0,0,0,1,0,0,0,0,0,3.15593012073836
"LN-22149729","2124 136th Ave E","Sumner","98390","Office","1960",0,0,0.214996682149967,"Owner User",0,0,0,0,0,1,0,0,0,0,0,3.30707068960683
"LN-22188374","10115 167th Street Ct E","Puyallup","98375","Retail","2021",0.280596688453159,0.0125932619676537,1,"Investment",0,1,0,0,0,0,1,1,0,0,0,3.56113071035179
"LN-22202096","2608 S 47th St","Tacoma","98409","Office","1999/2013",0.485838779956427,0.217248250614023,0.138022561380226,"Investment",1,0,0,0,0,1,0,1,0,0,0,3.09391691873847
"LN-22381928","1680 S Mildred St","Tacoma","98465","Retail","1986",0.632244008714597,0.771745678669076,0.0119442601194426,"Investment",1,0,0,0,0,0,1,1,0,0,0,0.0366390114148119
"LN-22444491","4002-4008 E Mckinley Ave","Tacoma","98404","Retail","1928",0.0108932461873638,0.0392047824273599,0.0285335102853351,"Owner User",1,0,0,0,0,0,1,0,0,0,0,3.27841920313371
"LN-22537555","525 E 15th St","Tacoma","98421","Industrial","1967",0.206971677559913,0.192409286806618,0.0431320504313205,"OwnerUser",1,0,0,0,1,0,0,0,1,0,0,3.01611671815845
"LN-3726167","1123 Pacific Ave","Tacoma","98402","Office","1919/2007",0.387799564270152,0.296074887622225,0.0590577305905773,"Investment or Owner User",1,0,0,0,0,1,0,0,0,0,1,0.887666559777392
