"CS_ID","Average Building Score","Address_Line","City","Postal_Code","Property_Type","Year_Built","Price","SquareFeet","$ per sq ft","Sale_Type","Tacoma","Puyallup","Land","Multifamily","Industrial","Office","Retail","Investment","OwnerUser","InvestmentNNN","Investment_or_Owner_User","Score.Predict.Norm"
"LN-11150078",2,"5408 Steilacoom Blvd SW","Lakewood","98499","Retail","1927/1978",0.00147841513897102,0.0158434296365331,0.0225207427894113,"Owner User",0,0,0,0,0,0,1,0,0,0,0,0.836427437731191
"LN-12170475",3,"5804 384th St E","Eatonville","98328","Industrial","N/A",0.0212891780011827,0.107598633115874,0,"OwnerUser",0,0,0,0,1,0,0,0,1,0,0,0.834193884618946
"LN-15108367",2,"2512 Holgate St","Tacoma","98402","Industrial","1890",0.210230632761679,0.116910013461738,0.0430659818253655,"Investment",1,0,0,0,1,0,0,1,0,0,0,1.71903569277377
"LN-16681285",2,"1502 6th Ave","Tacoma","98405","Retail","1963",0.0269071555292726,0.00485450968209589,0.169498222046622,"Investment",1,0,0,0,0,0,1,1,0,0,0,2.31728257212696
"LN-17149505",2,"5715 Wollochet Dr NW","Gig Harbor","98335","Office","1992",0.0389089296274394,0.0224707466086776,0.0553141050967997,"Owner User",0,0,0,0,0,1,0,0,0,0,0,1.94616385497883
"LN-17569293",3,"2401 N Pearl St","Tacoma","98406","Retail","1986/1991",0.2602010644589,0.177081909495703,0.0327933623073884,"Investment NNN",1,0,0,0,0,0,1,0,0,0,0,2.48986069749439
"LN-18591703",3,"5601 Soundview Dr","Gig Harbor","98335","Retail","1982",0.0851567120047309,0.0253122087604846,0.0948241801659423,"Owner User",0,0,0,0,0,0,1,0,0,0,0,3.26256608600442
"LN-18729587",2,"6722 Yakima Ave","Tacoma","98408","OfficeOfficeGeneral Retail Daycare CenterGeneral Retail StorefrontGeneral Retail Storefront Retail/OfficeOffice","1920/1994",0.017143701951508,0.010980635808222,0.066772026866851,"Investment or Owner User",1,0,0,0,0,0,0,0,0,0,1,4.45917161407403
"LN-18918096",2,"4412 6th Ave","Tacoma","98406","OfficeOfficeGeneral Retail Convenience StoreGeneral Retail RestaurantGeneral Retail Storefront Retail/OfficeOffice","1946/1981",0.0209934949733885,0.0127285906596251,0.0651916238640853,"Investment or Owner User",1,0,0,0,0,0,0,0,0,0,1,2.63836846885586
"LN-19626041",2,"1824 S Meridian St","Puyallup","98371","Office","1975",0.0138971023063276,0.00477581029305167,0.121295930462268,"Owner User",0,1,0,0,0,1,0,0,0,0,0,1.4814105711379
"LN-19627971",1,"12811 Pacific Ave S","Tacoma","98444","Retail","2020",0.0668243642814902,0,1,"Investment",1,0,0,0,0,0,1,1,0,0,0,1.67068970874376
"LN-20058903",2,"1401 S Union Ave","Tacoma","98405","Office","1975",0.0833826138379657,0.017856477166822,0.131173449229554,"Investment",1,0,0,0,0,1,0,1,0,0,0,1.33890030387711
"LN-20205607",3,"6403-6413 Steilacoom Blvd SW","Lakewood","98499","Retail","1944",0.0538143110585452,0.0389644817231024,0.0391149743184512,"Investment or Owner User",0,0,0,0,0,0,1,0,0,0,1,5.01950305181025
"LN-20257323",4,"1009-1013 Pacific Ave","Tacoma","98402","Retail","1928",0.186871673565937,0.123404784094439,0.0351639668115369,"Owner User",1,0,0,0,0,0,1,0,0,0,0,4.93203779614033
"LN-20432592",3,"10209 Bridgeport Way SW","Lakewood","98499","Office","1980",0.145476049674749,0.0574174174174174,0.0663769261161596,"Investment",0,0,0,0,0,1,0,1,0,0,0,3.40602512596976
"LN-20637101",1,"11311 164th St E","Puyallup","98374","IndustrialOfficeIndustrialLiveWorkUnit","1976/1986",0.0685984624482555,0.00637050843947396,0.270248913472936,"InvestmentorOwnerUser",0,1,0,0,0,0,0,0,0,0,0,-0.0930525072004629
"LN-20886717",2,"4023 S Orchard","Tacoma","98466","Industrial","1980",0.145925487876996,0.0944765455110283,0.0371394705649941,"Investment",1,0,0,0,1,0,0,1,0,0,0,0.189055782497226
"LN-21081765",3,"119 Mashell Ave S","Eatonville","98328","Retail","1950/2020",0.00112359550561798,0.00368230299264782,0.0865270644014224,"Investment",0,0,0,0,0,0,1,1,0,0,0,1.68332058959055
"LN-21099885",1,"1950 S State St","Tacoma","98405","Flex","1974",1,1,0.0177795337811142,"InvestmentorOwnerUser",1,0,0,0,0,0,0,0,0,0,0,1.5672843008181
"LN-21227269",1,"1720 S 7th St","Tacoma","98405","Industrial","1950",0.272619751626257,0.152738945842394,0.0418806795732912,"InvestmentorOwnerUser",1,0,0,0,1,0,0,0,0,0,0,1.58451924223275
"LN-21229870",1,"2202 84th St S","Lakewood","98499","Retail","2000",0.0685393258426966,0.0183079631355493,0.108257605689451,"Investment or Owner User",0,0,0,0,0,0,1,0,0,0,1,3.29462253975557
"LN-21423976",2,"808 N 2nd St","Tacoma","98403","Office","1985",0.0330573625073921,0.00608470539505022,0.16357171078625,"Investment or Owner User",1,0,0,0,0,1,0,0,0,0,1,0.0868417884871003
"LN-21468327",3,"3130 S 23rd St","Tacoma","98405","Retail","1991",0.790065050266115,0.252289530910221,0.077834847886211,"Investment",1,0,0,0,0,0,1,1,0,0,0,1.47850241092118
"LN-21481019",3,"18407 Pacific Ave S","Spanaway","98387","Office","1985",0.130691898285038,0.0972931552241897,0.0316080600553141,"Investment",0,0,0,0,0,1,0,1,0,0,0,3.3249363531674
"LN-21548454",2,"3414 Pacific Ave","Tacoma","98418","Retail","1940",0.00946185688941455,0.00840426633530082,0.0655867246147768,"Owner User",1,0,0,0,0,0,1,0,0,0,0,1.68259733424617
"LN-21816101",4,"3320 S G St","Tacoma","98418","Retail","1946",0.157303370786517,0.0771419695557627,0.0513630975898854,"Owner User",1,0,0,0,0,0,1,0,0,0,0,1.62604222487323
"LN-21889127",4,"1113-1115 A St","Tacoma","98402","Office","1923",0.0996451803666469,0.0680335507921715,0.0367443698143026,"Investment",1,0,0,0,0,1,0,1,0,0,0,3.4902651489937
"LN-21948843",4,"3418 Pacific Ave","Tacoma","98418","Retail","1996",0,0.00371958165061613,0.0809956538917424,"Owner User",1,0,0,0,0,0,1,0,0,0,0,3.23448901489971
"LN-22076689",2,"2365 Tacoma Ave S","Tacoma","98402","Retail","1958/2010",0.0192193968066233,0.00999482240861551,0.077834847886211,"Investment or Owner User",1,0,0,0,0,0,1,0,0,0,1,1.857954584591
"LN-22076954",3,"448 E 18th St","Tacoma","98421","Industrial","1963",0.287403903015967,0.146732939836388,0.0466218885815883,"OwnerUser",1,0,0,0,1,0,0,0,1,0,0,1.58370291986708
"LN-22087491",2,"3020 S Union Ave","Tacoma","98409","Office","1966",0.040508574807806,0.0109599254426841,0.115369419201896,"Investment",1,0,0,0,0,1,0,1,0,0,0,5.02911692116382
"LN-22154019",3,"6323 Pacific Hwy E","Fife","98424","Retail","1982",0.0508574807806032,0.0156528942735839,0.0987751876728566,"Investment or Owner User",0,0,0,0,0,0,1,0,0,0,1,3.33079816625369
"LN-5650350",2,"9321 S Tacoma Way","Lakewood","98499","Retail","1947",0.0449438202247191,0.00603500051775914,0.203476886606085,"Owner User",0,0,0,0,0,0,1,0,0,0,0,3.347863803755
