"Block.Group.ID","Average.Block.Group.Score","Population","Population.3.Mile","Households.3.Mile","Percent.Kids.under.5","Percent.Kids.under.5.3.Mile","Percent.Kids.5.to.9","Percent.Kids.5.to.9.3 Mile","Average.Age","Household.income.under.40K.3Mile","Household.income.40K.to.50K.3.Mile","Household.income.50K.to.60K.3.Mile","Household.income.60K.to.75K.3.Mile","Household.income.75K.to.100K.3.Mile","Household.income.100:.125K.3.Mile","Household.income.125K.to.150K.3.Mile","Household.income.150K.to.200K.3.Mile","Household.income.200K+.3Mile","Score.Predict"
"530530718062",3,1312,73212,28276,0.085,0.075,0.049,0.07,26.9,0.438,0.104,0.097,0.097,0.12,0.059,0.04,0.023,0.022,2.69692774146526
"530530733022",3,1586,46139,17301,0.042,0.063,0.061,0.06,43.9,0.202,0.091,0.09,0.11,0.151,0.115,0.07,0.098,0.074,2.09822690048524
"530530605003",3,712,92988,40399,0.059,0.055,0.049,0.056,44.8,0.331,0.087,0.069,0.1,0.129,0.097,0.062,0.068,0.055,2.19800414282982
"530530718082",2,1930,123348,47109,0.034,0.075,0.04,0.069,48.6,0.392,0.113,0.1,0.115,0.118,0.076,0.041,0.03,0.016,3.20852454288794
"530530626002",3,2261,142235,55505,0.074,0.068,0.055,0.063,34.9,0.36,0.103,0.093,0.104,0.133,0.093,0.049,0.041,0.025,3.02928996249419
"530530712073",4,2397,84205,31551,0.071,0.06,0.052,0.055,29.3,0.25,0.088,0.077,0.123,0.139,0.116,0.071,0.083,0.054,3.8361430439281
"530530712063",3,2226,60873,22267,0.014,0.056,0.049,0.058,33.4,0.237,0.085,0.08,0.121,0.147,0.12,0.073,0.083,0.054,2.06464773028381
"530530616011",2,1899,89129,36525,0.029,0.055,0.004,0.064,41.4,0.358,0.087,0.076,0.1,0.133,0.091,0.052,0.061,0.043,2.06476537047891
"530530723112",3.5,1153,97429,40132,0.126,0.072,0.088,0.056,28.5,0.322,0.096,0.085,0.1,0.145,0.092,0.057,0.053,0.051,3.6011630289227
"530530718071",5,1941,102851,39157,0.141,0.083,0.111,0.07,25.6,0.382,0.109,0.105,0.112,0.122,0.07,0.049,0.033,0.019,3.94564132586221
"530530612004",3,718,123755,52855,0.024,0.057,0.024,0.062,51.4,0.35,0.094,0.078,0.102,0.129,0.097,0.052,0.054,0.043,5.00654458721554
"530530712103",4,3413,60854,22396,0.092,0.063,0.055,0.062,38.2,0.243,0.079,0.063,0.133,0.137,0.121,0.08,0.08,0.063,2.95592861967719
"530530718031",4,1624,108756,42297,0.091,0.077,0.063,0.065,26,0.368,0.106,0.101,0.109,0.124,0.076,0.055,0.037,0.025,4.0245806319261
"530530619001",2,892,115864,45382,0.035,0.059,0.05,0.065,51.1,0.375,0.097,0.09,0.11,0.126,0.091,0.045,0.041,0.026,2.72706331312074
"530530732003",4,1547,1547,580,0.069,0.069,0.047,0.047,41.2,0.248,0.067,0.045,0.112,0.241,0.109,0.124,0.034,0.019,4.9999753195856
"530530735003",5,1314,57539,21754,0.091,0.069,0.087,0.059,33.8,0.206,0.094,0.088,0.115,0.145,0.128,0.075,0.088,0.061,2.25464994525767
"530530631002",3,1274,127633,46364,0.081,0.075,0.037,0.076,43.1,0.383,0.115,0.101,0.116,0.13,0.078,0.037,0.026,0.015,2.61788967752158
"530530730061",2.5,2389,2389,903,0.046,0.046,0.076,0.076,47.7,0.238,0.05,0.059,0.132,0.161,0.151,0.157,0.034,0.019,4.26424467494607
"530530726022",4,1832,2734,989,0.018,0.031,0.072,0.062,40.5,0.209,0.091,0.082,0.148,0.106,0.118,0.046,0.109,0.091,3.06836899143991
"530530612001",2,1049,114373,48383,0.126,0.056,0.092,0.058,34.2,0.354,0.095,0.076,0.103,0.129,0.091,0.053,0.056,0.042,2.06705917423833
"530530718083",3.5,751,110890,41454,0.075,0.08,0.149,0.073,31.3,0.399,0.114,0.102,0.118,0.119,0.069,0.038,0.027,0.015,4.03551657838664
