"cs_id","model_id","score","date_calculated"
"18771550","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"20058903","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"20742136","Build_KNN_v.3","2","Fri Apr 16 08:35:35 2021"
"20956338","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"21058749","Build_KNN_v.3","2","Fri Apr 16 08:35:35 2021"
"21468327","Build_KNN_v.3","2","Fri Apr 16 08:35:35 2021"
"21769054","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-12577036","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-16122969","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-17212434","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-17472115","Build_KNN_v.3","2","Fri Apr 16 08:35:35 2021"
"LN-21177908","Build_KNN_v.3","4","Fri Apr 16 08:35:35 2021"
"LN-21228625","Build_KNN_v.3","2","Fri Apr 16 08:35:35 2021"
"LN-21460973","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-21769278","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22093926","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22149729","Build_KNN_v.3","2","Fri Apr 16 08:35:35 2021"
"LN-22173561","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22188374","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22202096","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22243531","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22244199","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22249951","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22304640","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22324339","Build_KNN_v.3","2","Fri Apr 16 08:35:35 2021"
"LN-22380934","Build_KNN_v.3","2","Fri Apr 16 08:35:35 2021"
"LN-22381928","Build_KNN_v.3","4","Fri Apr 16 08:35:35 2021"
"LN-22395989","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22442843","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22444491","Build_KNN_v.3","2","Fri Apr 16 08:35:35 2021"
"LN-22489379","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-22537555","Build_KNN_v.3","2","Fri Apr 16 08:35:35 2021"
"LN-3726167","Build_KNN_v.3","2","Fri Apr 16 08:35:35 2021"
"LN-3788534","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-3839013","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-3945583","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-3958478","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
"LN-7336077","Build_KNN_v.3","3","Fri Apr 16 08:35:35 2021"
