"Block.Group.ID","Average.Block.Group.Score","Population","Population.3.Mile","Households.3.Mile","Percent.Kids.under.5","Percent.Kids.under.5.3.Mile","Percent.Kids.5.to.9","Percent.Kids.5.to.9.3 Mile","Average.Age","Household.income.under.40K.3Mile","Household.income.40K.to.50K.3.Mile","Household.income.50K.to.60K.3.Mile","Household.income.60K.to.75K.3.Mile","Household.income.75K.to.100K.3.Mile","Household.income.100:.125K.3.Mile","Household.income.125K.to.150K.3.Mile","Household.income.150K.to.200K.3.Mile","Household.income.200K+.3Mile","Score.Predict"
"530330257011",NA,1242,118799,45806,0.028,0.065,0.074,0.066,45.3,0.244,0.074,0.086,0.113,0.148,0.115,0.064,0.087,0.069,"0.5"
"530330060002",NA,1311,297924,151336,0,0.037,0.07,0.028,45,0.227,0.059,0.062,0.083,0.12,0.1,0.084,0.098,0.165,"0.5"
"530330277013",NA,723,6052,2667,0,0.017,0.046,0.05,51.8,0.308,0.091,0.051,0.085,0.076,0.09,0.099,0.105,0.096,"0.5"
"530330312022",NA,1158,24767,8932,0.154,0.063,0.204,0.076,28.3,0.165,0.047,0.095,0.108,0.151,0.106,0.095,0.136,0.098,"0.5"
"530530731192",NA,1895,1895,741,0.027,0.027,0.042,0.042,49.3,0.085,0.109,0.034,0.101,0.243,0.165,0.142,0.058,0.063,"0.5"
"530530734043",NA,717,73655,28176,0.029,0.06,0.017,0.053,45.8,0.258,0.089,0.08,0.124,0.138,0.115,0.061,0.082,0.053,"0.5"
"530670104001",NA,1645,73241,31669,0.04,0.053,0.039,0.054,43.2,0.322,0.095,0.088,0.1,0.14,0.103,0.064,0.05,0.038,"0.5"
"530330007002",NA,1405,166813,71789,0.078,0.057,0.019,0.048,33.7,0.25,0.066,0.065,0.08,0.126,0.1,0.07,0.105,0.139,"0.5"
"530330322151",NA,1993,50777,17358,0.037,0.066,0.105,0.081,38.8,0.073,0.03,0.023,0.047,0.083,0.089,0.118,0.169,0.369,"0.5"
"530670119001",NA,2361,4420,1708,0.026,0.055,0.028,0.057,48.4,0.166,0.053,0.058,0.07,0.162,0.138,0.106,0.108,0.139,"0.5"
"530330312062",NA,1760,66471,23731,0.04,0.074,0.043,0.076,33.2,0.295,0.078,0.093,0.111,0.141,0.088,0.068,0.076,0.05,"0.5"
"530330226063",NA,1524,107339,44795,0.038,0.066,0.047,0.064,39.5,0.161,0.039,0.045,0.072,0.113,0.117,0.101,0.137,0.215,"0.5"
"530330237003",NA,1593,102981,44449,0.043,0.059,0.033,0.051,32.1,0.163,0.043,0.045,0.069,0.112,0.121,0.081,0.125,0.242,"0.5"
"530330312045",NA,1204,14200,5119,0.043,0.062,0.02,0.054,50.3,0.091,0.085,0.087,0.075,0.161,0.133,0.085,0.141,0.141,"0.5"
"530330100023",NA,1090,166355,77042,0.074,0.041,0.092,0.039,38.2,0.311,0.064,0.06,0.082,0.107,0.089,0.076,0.081,0.131,"0.75"
"530330320062",NA,2414,57549,19916,0.103,0.064,0.098,0.088,33.9,0.137,0.037,0.05,0.094,0.174,0.151,0.114,0.134,0.109,"0.5"
"530330298026",NA,2553,91322,32634,0.051,0.072,0.085,0.075,30.4,0.322,0.076,0.08,0.126,0.13,0.084,0.069,0.062,0.051,"0.5"
"530330251022",NA,1377,100310,38604,0.027,0.062,0.046,0.066,33.5,0.22,0.064,0.073,0.104,0.143,0.119,0.071,0.098,0.109,"0.5"
"530330312025",NA,1131,7695,2750,0.101,0.05,0.057,0.057,34.5,0.193,0.032,0.103,0.042,0.143,0.076,0.104,0.13,0.176,"0.5"
"530330228031",NA,753,108253,43398,0.068,0.065,0.09,0.067,30.4,0.162,0.039,0.038,0.076,0.118,0.125,0.093,0.138,0.21,"0.5"
"530330317051",NA,1568,66679,21849,0.054,0.06,0.038,0.069,42.5,0.162,0.059,0.071,0.097,0.15,0.136,0.111,0.1,0.114,"0.5"
"530330323251",NA,593,64360,24684,0.128,0.064,0.083,0.081,41.4,0.134,0.033,0.037,0.061,0.101,0.124,0.105,0.144,0.261,"0.5"
"530330093001",NA,770,199070,104685,0.029,0.034,0.027,0.03,37.8,0.27,0.058,0.058,0.08,0.113,0.098,0.079,0.097,0.146,"0.75"
"530330080014",NA,1560,226023,121580,0,0.035,0,0.027,35.7,0.237,0.058,0.063,0.081,0.118,0.097,0.083,0.102,0.162,"0.5"
"530330289014",NA,697,59275,21277,0,0.063,0.055,0.072,60.2,0.268,0.092,0.089,0.113,0.134,0.103,0.069,0.07,0.062,"0.5"
"530530707035",NA,731,54313,19220,0.074,0.071,0.082,0.067,33.1,0.217,0.07,0.079,0.109,0.162,0.12,0.086,0.095,0.061,"0.5"
"530539400041",NA,892,64557,22698,0.048,0.065,0.031,0.069,48.6,0.283,0.1,0.096,0.103,0.146,0.109,0.055,0.067,0.04,"0.5"
"530330325002",NA,1520,4096,1526,0.066,0.059,0.053,0.046,45.5,0.165,0.065,0.05,0.071,0.125,0.113,0.073,0.106,0.233,"0.5"
"530670125302",NA,1319,10052,3308,0.045,0.109,0.096,0.079,36.9,0.244,0.115,0.087,0.137,0.159,0.094,0.068,0.056,0.039,"0.5"
"530330080022",NA,1772,222724,120026,0.02,0.036,0,0.027,33.7,0.24,0.059,0.062,0.081,0.117,0.097,0.083,0.1,0.161,"0.5"
"530330291011",NA,1663,88609,32269,0.059,0.07,0.076,0.074,37.2,0.316,0.096,0.09,0.133,0.124,0.084,0.058,0.055,0.044,"0.5"
"530530635013",NA,1511,133472,48660,0.126,0.076,0.066,0.073,37,0.382,0.118,0.107,0.118,0.128,0.074,0.033,0.025,0.015,"0.25"
"530330305044",NA,1280,71261,24975,0.04,0.073,0.029,0.076,56.8,0.286,0.079,0.086,0.11,0.15,0.092,0.078,0.07,0.048,"0.5"
"530530703132",NA,910,44187,16899,0.029,0.07,0.059,0.065,50.8,0.192,0.074,0.083,0.102,0.151,0.115,0.078,0.108,0.095,"0.5"
"530330305031",NA,2935,74048,25422,0.168,0.078,0.069,0.077,33,0.283,0.078,0.081,0.112,0.152,0.098,0.08,0.067,0.049,"0.5"
"530330219052",NA,1216,108960,43548,0.044,0.067,0.038,0.062,51.8,0.167,0.056,0.058,0.081,0.132,0.123,0.101,0.132,0.15,"0.5"
"530330074012",NA,1504,261328,133968,0.015,0.034,0.014,0.027,30.8,0.258,0.059,0.061,0.078,0.113,0.093,0.079,0.094,0.163,"0.5"
"530330228014",NA,1525,116832,47678,0.048,0.061,0.028,0.061,39.8,0.162,0.045,0.046,0.073,0.113,0.12,0.083,0.132,0.227,"0.5"
"530330262003",NA,2188,88884,32235,0.068,0.075,0.011,0.06,37.2,0.307,0.101,0.087,0.099,0.135,0.102,0.06,0.062,0.047,"0.375"
"530530723072",NA,947,74802,29925,0.154,0.076,0.05,0.054,37.9,0.312,0.089,0.097,0.113,0.138,0.084,0.058,0.054,0.054,"0.5"
"530670108004",NA,1121,43882,17999,0.038,0.046,0.021,0.056,48.9,0.265,0.088,0.093,0.088,0.152,0.112,0.073,0.072,0.057,"0.5"
"530330116004",NA,969,100927,41652,0.068,0.071,0.088,0.066,47.6,0.269,0.078,0.07,0.088,0.124,0.105,0.079,0.088,0.1,"0.5"
"530330204011",NA,1763,83082,33027,0.053,0.062,0.051,0.054,38.2,0.229,0.064,0.064,0.085,0.149,0.114,0.087,0.109,0.1,"0.5"
"530530715053",NA,830,71173,25045,0.014,0.059,0.035,0.071,56.6,0.307,0.09,0.097,0.128,0.167,0.081,0.055,0.053,0.023,"0.5"
"530539400051",NA,1653,80236,28573,0.071,0.068,0.036,0.061,37.7,0.244,0.08,0.082,0.119,0.158,0.112,0.076,0.074,0.056,"0.5"
"530330256022",NA,852,102058,38638,0.076,0.067,0.021,0.065,48.8,0.21,0.074,0.076,0.116,0.149,0.122,0.072,0.099,0.082,"0.5"
"530330244002",NA,1941,73261,30960,0.074,0.051,0.073,0.057,33.8,0.149,0.044,0.038,0.057,0.104,0.104,0.087,0.129,0.288,"0.5"
"530330305011",NA,933,73767,26289,0.084,0.074,0.03,0.072,37.5,0.272,0.08,0.094,0.12,0.153,0.091,0.079,0.065,0.047,"0.5"
"530330293054",NA,946,91455,31270,0.026,0.066,0.043,0.067,38.3,0.216,0.071,0.076,0.13,0.152,0.117,0.078,0.098,0.061,"0.5"
"530530703123",NA,1732,43159,14513,0.088,0.074,0.124,0.082,30.6,0.137,0.073,0.08,0.106,0.159,0.167,0.103,0.105,0.071,"0.5"
"530330021002",NA,1197,206315,85231,0.095,0.051,0.088,0.047,32.4,0.261,0.065,0.062,0.08,0.116,0.092,0.069,0.099,0.156,"0.75"
"530530711002",NA,892,70764,25339,0.058,0.061,0.04,0.065,49.4,0.276,0.096,0.095,0.12,0.146,0.101,0.054,0.072,0.04,"0.5"
"530330320055",NA,1350,59481,20858,0.041,0.06,0.04,0.072,47.2,0.147,0.053,0.055,0.087,0.174,0.142,0.104,0.119,0.119,"0.5"
"530530714062",NA,2088,51697,16881,0.061,0.076,0.1,0.086,34.4,0.242,0.065,0.092,0.134,0.182,0.103,0.089,0.06,0.033,"0.5"
"530530725051",NA,1283,9786,3888,0.044,0.053,0.023,0.059,52,0.186,0.06,0.069,0.087,0.117,0.087,0.07,0.105,0.218,"0.5"
"530330218033",NA,1219,89938,35690,0.036,0.067,0.075,0.063,39.8,0.17,0.061,0.059,0.083,0.128,0.115,0.105,0.141,0.138,"0.5"
"530330250031",NA,962,72459,26346,0.045,0.056,0.047,0.06,57.4,0.14,0.045,0.039,0.071,0.1,0.104,0.084,0.141,0.275,"0.5"
"530670114103",NA,715,76120,29918,0.008,0.066,0.039,0.067,48.4,0.268,0.089,0.099,0.126,0.165,0.106,0.067,0.051,0.03,"0.5"
"530670125301",NA,1797,1797,631,0.091,0.091,0.026,0.026,39.8,0.1,0.087,0.098,0.158,0.168,0.17,0.097,0.059,0.063,"0.5"
"530530724101",NA,1947,10811,4049,0.039,0.05,0.085,0.068,48.4,0.137,0.06,0.068,0.074,0.139,0.149,0.072,0.1,0.202,"0.5"
"530330215004",NA,1042,65770,26479,0.048,0.068,0.121,0.061,45.3,0.222,0.068,0.06,0.077,0.148,0.104,0.084,0.115,0.121,"0.5"
"530330301007",NA,753,84922,31484,0.057,0.064,0.076,0.067,50.6,0.283,0.081,0.092,0.118,0.137,0.1,0.074,0.063,0.052,"0.5"
"530330295031",NA,1506,102692,34948,0.053,0.072,0.048,0.07,38,0.296,0.08,0.08,0.121,0.136,0.101,0.071,0.065,0.049,"0.5"
"530530704011",NA,1373,48324,17589,0.017,0.066,0.136,0.067,45.8,0.199,0.07,0.082,0.112,0.158,0.129,0.083,0.092,0.075,"0.5"
"530330039002",NA,1064,152236,60382,0.039,0.049,0.1,0.05,45.2,0.249,0.059,0.053,0.067,0.105,0.089,0.07,0.108,0.2,"0.5"
"530330074014",NA,1241,255299,131375,0,0.034,0,0.027,35.1,0.252,0.058,0.061,0.079,0.115,0.095,0.081,0.095,0.165,"0.5"
"530330264002",NA,1524,130461,46323,0.203,0.069,0.041,0.07,27.2,0.349,0.096,0.085,0.091,0.128,0.086,0.067,0.057,0.043,"0.75"
"530330258032",NA,1470,96906,36606,0.05,0.064,0.08,0.062,31,0.212,0.078,0.082,0.121,0.154,0.119,0.078,0.091,0.065,"0.5"
"530330001004",NA,2277,139605,59146,0.079,0.061,0.071,0.05,29.5,0.257,0.072,0.071,0.083,0.134,0.097,0.073,0.1,0.113,"0.5"
"530330312061",NA,1573,67384,24207,0.038,0.074,0.089,0.074,22.5,0.285,0.081,0.09,0.109,0.141,0.09,0.072,0.079,0.053,"0.5"
"530530726031",NA,666,2713,1085,0,0.089,0.132,0.116,50.7,0.321,0.086,0.205,0.171,0.133,0,0.03,0.042,0.013,"0.5"
"530530723093",NA,1754,63967,26163,0.125,0.066,0,0.053,31.3,0.291,0.082,0.086,0.099,0.153,0.091,0.061,0.059,0.077,"0.75"
"530330290041",NA,1937,90113,32137,0.07,0.065,0.061,0.078,34.1,0.316,0.087,0.089,0.127,0.122,0.091,0.062,0.059,0.047,"0.5"
"530330027004",NA,1274,260840,112645,0.087,0.051,0.036,0.044,36.2,0.229,0.062,0.059,0.087,0.118,0.1,0.083,0.104,0.157,"0.75"
"530330293033",NA,2469,87142,31271,0.026,0.07,0.097,0.063,48.6,0.214,0.071,0.076,0.133,0.155,0.115,0.081,0.097,0.057,"0.5"
