Block Group ID,Average Block Group Score,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Percent Kids under 5,Kids under 5: 3 Miles,Percent Kids under 5: 3 Miles,Kids 5 to 9,Percent Kids 5 to 9,Kids 5 to 9: 3 Miles,Percent Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
530330257011,,1242,118799,45806,35,0.028,7750,0.065,92,0.074,7827,0.066,45.3,0.244,0.074,0.086,0.113,0.148,0.115,0.064,0.087,0.069
530330060002,,1311,297924,151336,0,0,11149,0.037,92,0.07,8418,0.028,45,0.227,0.059,0.062,0.083,0.12,0.1,0.084,0.098,0.165
530330277013,,723,6052,2667,0,0,101,0.017,33,0.046,300,0.05,51.8,0.308,0.091,0.051,0.085,0.076,0.09,0.099,0.105,0.096
530330312022,,1158,24767,8932,178,0.154,1548,0.063,236,0.204,1875,0.076,28.3,0.165,0.047,0.095,0.108,0.151,0.106,0.095,0.136,0.098
530530731192,,1895,1895,741,51,0.027,51,0.027,79,0.042,79,0.042,49.3,0.085,0.109,0.034,0.101,0.243,0.165,0.142,0.058,0.063
530530734043,,717,73655,28176,21,0.029,4402,0.06,12,0.017,3911,0.053,45.8,0.258,0.089,0.08,0.124,0.138,0.115,0.061,0.082,0.053
530670104001,,1645,73241,31669,66,0.04,3885,0.053,64,0.039,3937,0.054,43.2,0.322,0.095,0.088,0.1,0.14,0.103,0.064,0.05,0.038
530330007002,,1405,166813,71789,110,0.078,9589,0.057,27,0.019,7987,0.048,33.7,0.25,0.066,0.065,0.08,0.126,0.1,0.07,0.105,0.139
530330322151,,1993,50777,17358,74,0.037,3365,0.066,210,0.105,4138,0.081,38.8,0.073,0.03,0.023,0.047,0.083,0.089,0.118,0.169,0.369
530670119001,,2361,4420,1708,61,0.026,241,0.055,66,0.028,254,0.057,48.4,0.166,0.053,0.058,0.07,0.162,0.138,0.106,0.108,0.139
530330312062,,1760,66471,23731,70,0.04,4933,0.074,76,0.043,5060,0.076,33.2,0.295,0.078,0.093,0.111,0.141,0.088,0.068,0.076,0.05
530330226063,,1524,107339,44795,58,0.038,7070,0.066,71,0.047,6823,0.064,39.5,0.161,0.039,0.045,0.072,0.113,0.117,0.101,0.137,0.215
530330237003,,1593,102981,44449,69,0.043,6084,0.059,53,0.033,5246,0.051,32.1,0.163,0.043,0.045,0.069,0.112,0.121,0.081,0.125,0.242
530330312045,,1204,14200,5119,52,0.043,884,0.062,24,0.02,771,0.054,50.3,0.091,0.085,0.087,0.075,0.161,0.133,0.085,0.141,0.141
530330100023,,1090,166355,77042,81,0.074,6885,0.041,100,0.092,6429,0.039,38.2,0.311,0.064,0.06,0.082,0.107,0.089,0.076,0.081,0.131
530330320062,,2414,57549,19916,248,0.103,3664,0.064,236,0.098,5085,0.088,33.9,0.137,0.037,0.05,0.094,0.174,0.151,0.114,0.134,0.109
530330298026,,2553,91322,32634,129,0.051,6557,0.072,217,0.085,6858,0.075,30.4,0.322,0.076,0.08,0.126,0.13,0.084,0.069,0.062,0.051
530330251022,,1377,100310,38604,37,0.027,6231,0.062,63,0.046,6572,0.066,33.5,0.22,0.064,0.073,0.104,0.143,0.119,0.071,0.098,0.109
530330312025,,1131,7695,2750,114,0.101,386,0.05,65,0.057,439,0.057,34.5,0.193,0.032,0.103,0.042,0.143,0.076,0.104,0.13,0.176
