CS_ID,Average Building Score,Address_Line,City,Postal_Code,Property_Type,Year_Built,Price,SquareFeet,$ per sq ft,Sale_Type,Block Group ID,Average Block Group Score,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Percent Kids under 5,Kids under 5: 3 Miles,Percent Kids under 5: 3 Miles,Kids 5 to 9,Percent Kids 5 to 9,Kids 5 to 9: 3 Miles,Percent Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
18771550,,10117 S Tacoma Way,Lakewood,98499,Sports&Entertainment,2003,8800000,,,Investment,5.30531E+11,2,1924,101780,38691,148,0.077,8305,0.082,138,0.072,6988,0.069,33.8,0.412,0.112,0.102,0.108,0.117,0.066,0.042,0.027,0.014
20058903,,1401 S Union Ave,Tacoma,98405,Office,1975,1750000,4886,358,Investment,5.30531E+11,3,718,123755,52855,17,0.024,7035,0.057,17,0.024,7618,0.062,51.4,0.35,0.094,0.078,0.102,0.129,0.097,0.052,0.054,0.043
20742136,,9810 Pacific Ave,Tacoma,98444,Retail,2017,2370000,1682,1409,Investment,5.30531E+11,3,1355,101715,36573,71,0.052,7286,0.072,33,0.024,6709,0.066,37.3,0.762,0.219,0.214,0.227,0.263,0.139,0.076,0.068,0.032
20956338,,4404 S Meridian,Puyallup,98373,Retail,2002,6230000,14355,434,Investment,5.30531E+11,4,2397,84205,31551,170,0.071,5078,0.06,124,0.052,4625,0.055,29.3,0.25,0.088,0.077,0.123,0.139,0.116,0.071,0.083,0.054
21058749,,4201 S Steele St,Tacoma,98409,Retail,1993,3300000,6737,490,Owner User,5.30531E+11,3,2261,142235,55505,167,0.074,9705,0.068,125,0.055,8895,0.063,34.9,0.36,0.103,0.093,0.104,0.133,0.093,0.049,0.041,0.025
21468327,,420 N Meridian,Puyallup,98371,Office,1961/2007,995000,4224,236,Owner User,5.30531E+11,,1332,55084,21326,60,0.045,3206,0.058,40,0.03,2906,0.053,43.5,0.254,0.085,0.088,0.116,0.144,0.117,0.059,0.087,0.05
21769054,,5110 Chicago Ave SW,Tacoma,98499,Multifamily,1977,5750000,,,Investment,5.30531E+11,5,2464,63750,24638,229,0.093,5204,0.082,283,0.115,4529,0.071,28.9,0.427,0.106,0.093,0.101,0.121,0.063,0.041,0.023,0.025
LN-11150078,2,5408 Steilacoom Blvd SW,Lakewood,98499,Retail,1927/1978,365000,4400,83,Owner User,5.30531E+11,5,1941,102851,39157,274,0.141,8549,0.083,215,0.111,7152,0.07,25.6,0.382,0.109,0.105,0.112,0.122,0.07,0.049,0.033,0.019
LN-12170475,3,5804 384th St E,Eatonville,98328,Industrial,N/A,700000,26552,26,OwnerUser,5.30531E+11,2.5,2389,2389,903,111,0.046,111,0.046,181,0.076,181,0.076,47.7,0.476,0.1,0.117,0.264,0.321,0.301,0.315,0.069,0.038
LN-12239253,1,6802 27th St W,University Place,98466,Land,N/A,6862442,,,Investment,5.30531E+11,3.5,1153,97429,40132,145,0.126,6981,0.072,101,0.088,5494,0.056,28.5,0.643,0.192,0.17,0.199,0.29,0.183,0.115,0.106,0.101
