CS_ID,url,AddressLine,City,State,PostalCode,GeoCode,PropertyType,Price,SquareFeet,BuildingClass,YearBuilt,SaleType
LN-20058903,https://www.loopnet.com/Listing/1401-S-Union-Ave-Tacoma-WA/20058903/,1401 S Union Ave,Tacoma,WA,98405,53053061200,Office,"$1,750,000","4,886 SF",C,1975,Investment
LN-22096400,https://www.loopnet.com/Listing/22320-Meridian-St-E-Graham-WA/22096400/,22320 Meridian St E,Graham,WA,98338,,Retail,"$7,725,000","14,334 SF",B,2007,Investment NNN
LN-22076689,https://www.loopnet.com/Listing/2365-Tacoma-Ave-S-Tacoma-WA/22076689/,2365 Tacoma Ave S,Tacoma,WA,98402,53053061602,Retail,"$665,000","2,988 SF",C,1958/2010,Investment or Owner User
LN-21975731,https://www.loopnet.com/Listing/9801-A-St-Tacoma-WA/21975731/,9801 A St,Tacoma,WA,98444,53053071603,Land,"$1,400,000",N/A,N/A,N/A,Investment
LN-21959583,https://www.loopnet.com/Listing/2513-Meridian-Ave-E-Edgewood-WA/21959583/,2513 Meridian Ave E,Edgewood,WA,98371,53053073502,Land,"$920,000",N/A,N/A,N/A,Investment
LN-21948843,https://www.loopnet.com/Listing/3418-Pacific-Ave-Tacoma-WA/21948843/,3418 Pacific Ave,Tacoma,WA,98418,53053061900,Retail,"$340,000","1,473 SF",B,1996,Owner User
LN-21948524,https://www.loopnet.com/Listing/9117-S-Tacoma-Way-Lakewood-WA/21948524/,9117 S Tacoma Way,Lakewood,WA,98499,53053071808,Retail,"$888,000","2,160 SF",B,1973,Investment NNN
LN-21923276,https://www.loopnet.com/Listing/Puyallup-Office-Complex-Parking-Garage/21923276/,Puyallup Office Complex/Parking Garage,N/A,N/A,N/A,,N/A,"$7,000,000",N/A,N/A,N/A,Investment
LN-21835086,https://www.loopnet.com/Listing/1313-Washington-St-Sumner-WA/21835086/,1313 Washington St,Sumner,WA,98390,53053073301,Specialty,"$999,999",N/A,N/A,1883/1976,OwnerUser
LN-21816101,https://www.loopnet.com/Listing/3320-S-G-St-Tacoma-WA/21816101/,3320 S G St,Tacoma,WA,98418,53053061800,Retail,"$3,000,000","19,199 SF",C,1946,Owner User
LN-21796700,https://www.loopnet.com/Listing/9401-Wa-302-Gig-Harbor-WA/21796700/,9401 Wa-302,Gig Harbor,WA,98329,,Industrial,"$795,000","3,575SF",C,1940,Investment
LN-21769054,https://www.loopnet.com/Listing/5110-Chicago-Ave-SW-Tacoma-WA/21769054/,5110 Chicago Ave SW,Tacoma,WA,98499,53053071806,Multifamily,"$5,750,000",N/A,N/A,1977,Investment
LN-21673589,https://www.loopnet.com/Listing/708-Market-St-Tacoma-WA/21673589/,708 Market St,Tacoma,WA,98402,53053061601,Multifamily(Condo),"$510,000",N/A,A,2007,InvestmentorOwnerUser
LN-21666019,https://www.loopnet.com/Listing/40724-S-Silver-Lake-Rd-E-Eatonville-WA/21666019/,40724 S Silver Lake Rd E,Eatonville,WA,98328,53053073006,Multifamily,"$950,000",N/A,C,1950,Investment
LN-21634551,https://www.loopnet.com/Listing/Spanaway-Contractor-Yard-with-2-Offices/21634551/,Spanaway Contractor Yard with 2 Offices,N/A,N/A,N/A,,N/A,"$650,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-21599257,https://www.loopnet.com/Listing/15518-Meridian-Ave-E-Puyallup-WA/21599257/,15518 Meridian Ave E,Puyallup,WA,98375,,Retail,"$2,495,000","3,344 SF",B,1972,Investment
LN-21572038,https://www.loopnet.com/Listing/7202-McKinley-Ave-Tacoma-WA/21572038/,7202 McKinley Ave,Tacoma,WA,98404,53053063401,Specialty,"$1,500,000",N/A,C,1980,Investment
LN-21571284,https://www.loopnet.com/Listing/10615-Canyon-Rd-E-Puyallup-WA/21571284/,10615 Canyon Rd E,Puyallup,WA,98373,53053071206,Land,"$500,000",N/A,N/A,N/A,Investment
LN-21548454,https://www.loopnet.com/Listing/3414-Pacific-Ave-Tacoma-WA/21548454/,3414 Pacific Ave,Tacoma,WA,98418,53053061900,Retail,"$500,000","2,604 SF",C,1940,Owner User
LN-21481019,https://www.loopnet.com/Listing/18407-Pacific-Ave-S-Spanaway-WA/21481019/,18407 Pacific Ave S,Spanaway,WA,98387,53053071416,Office,"$2,550,000","24,064 SF",B,1985,Investment
LN-21468327,https://www.loopnet.com/Listing/420-N-Meridian-Puyallup-WA/21468327/,420 N Meridian,Puyallup,WA,98371,53053073407,Office,"$995,000","4,224 SF",B,1961/2007,Owner User
LN-21459049,https://www.loopnet.com/Listing/2901-2915-Bridgeport-Way-W-University-Place-WA/21459049/,2901-2915 Bridgeport Way W,University Place,WA,98466,53053072311,HealthCare,"$9,800,000",N/A,C,1969/2017,Investment
LN-21423976,https://www.loopnet.com/Listing/808-N-2nd-St-Tacoma-WA/21423976/,808 N 2nd St,Tacoma,WA,98403,53053061502,Office,"$899,000","2,044 SF",B,1985,Investment or Owner User
LN-21355235,https://www.loopnet.com/Listing/3906-S-74th-St-Tacoma-WA/21355235/,3906 S 74th St,Tacoma,WA,98409,53053062802,Office,"$3,295,000","24,440 SF",B,1995,Investment
LN-21333154,https://www.loopnet.com/Listing/120-136th-St-S-Tacoma-WA/21333154/,120 136th St S,Tacoma,WA,98444,53053071503,Multifamily,"$7,900,000",N/A,C,1969/2015,Investment
LN-21229870,https://www.loopnet.com/Listing/2202-84th-St-S-Lakewood-WA/21229870/,2202 84th St S,Lakewood,WA,98499,53053071808,Retail,"$1,499,000","4,995 SF",B,2000,Investment or Owner User
LN-21227269,https://www.loopnet.com/Listing/1720-S-7th-St-Tacoma-WA/21227269/,1720 S 7th St,Tacoma,WA,98405,53053061300,Industrial,"$4,950,000","37,450SF",C,1950,InvestmentorOwnerUser
LN-21178590,https://www.loopnet.com/Listing/22606-22610-SR-410-Est-Bonney-Lake-WA/21178590/,22606-22610 SR 410 Est,Bonney Lake,WA,98391,,Land,"$1,399,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-21178181,https://www.loopnet.com/Listing/9918-162nd-St-Ct-E-Puyallup-WA/21178181/,9918 162nd St Ct E,Puyallup,WA,98375,,Industrial(Condo),"$392,500",N/A,B,2000,InvestmentorOwnerUser
LN-21177960,https://www.loopnet.com/Listing/18406-Veterans-Memorial-Dr-Bonney-Lake-WA/21177960/,18406 Veterans Memorial Dr,Bonney Lake,WA,98391,,Land,"$750,000",N/A,N/A,N/A,Investment
LN-21099885,https://www.loopnet.com/Listing/1950-S-State-St-Tacoma-WA/21099885/,1950 S State St,Tacoma,WA,98405,,Flex,"$17,250,000","242,000SF",B,1974,InvestmentorOwnerUser
LN-21081765,https://www.loopnet.com/Listing/119-Mashell-Ave-S-Eatonville-WA/21081765/,119 Mashell Ave S,Eatonville,WA,98328,53053073200,Retail,"$359,000","1,464 SF",B,1950/2020,Investment
LN-21058749,https://www.loopnet.com/Listing/4201-S-Steele-St-Tacoma-WA/21058749/,4201 S Steele St,Tacoma,WA,98409,53053062600,Retail,"$3,300,000","6,737 SF",B,1993,Owner User
LN-20956338,https://www.loopnet.com/Listing/4404-S-Meridian-Puyallup-WA/20956338/,4404 S Meridian,Puyallup,WA,98373,53053071207,Retail,"$6,230,000","14,355 SF",N/A,2002,Investment
LN-20886717,https://www.loopnet.com/Listing/4023-S-Orchard-Tacoma-WA/20886717/,4023 S Orchard,Tacoma,WA,98466,53053062801,Industrial,"$2,807,600","23,384SF",C,1980,Investment
LN-20769216,https://www.loopnet.com/Listing/8113-John-Dower-Rd-SW-Lakewood-WA/20769216/,8113 John Dower Rd SW,Lakewood,WA,98499,53053071803,Multifamily,"$1,950,000",N/A,C,1965/1978,Investment
LN-20742136,https://www.loopnet.com/Listing/9810-Pacific-Ave-Tacoma-WA/20742136/,9810 Pacific Ave,Tacoma,WA,98444,53053071705,Retail,"$2,370,000","1,682 SF",B,2017,Investment
LN-20637101,https://www.loopnet.com/Listing/11311-164th-St-E-Puyallup-WA/20637101/,11311 164th St E,Puyallup,WA,98374,53053073111,IndustrialOfficeIndustrialLiveWorkUnit,"$1,500,000","2,113SF",C,1976/1986,InvestmentorOwnerUser
LN-20292461,https://www.loopnet.com/Listing/Phelps-Tire-Factory/20292461/,Phelps Tire Factory,N/A,N/A,N/A,,N/A,"$2,300,000",N/A,N/A,N/A,Investment
LN-20257323,https://www.loopnet.com/Listing/1009-1013-Pacific-Ave-Tacoma-WA/20257323/,1009-1013 Pacific Ave,Tacoma,WA,98402,53053061601,Retail,"$3,500,000","30,368 SF",C,1928,Owner User
LN-20204306,https://www.loopnet.com/Listing/Nisqually-Power-Station/20204306/,Nisqually Power Station,N/A,N/A,N/A,,N/A,"$3,650,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-20107835,https://www.loopnet.com/Listing/8717-Key-Peninsula-Hwy-NW-Lakebay-WA/20107835/,8717 Key Peninsula Hwy NW,Lakebay,WA,98349,53053072602,Land,"$815,000",N/A,N/A,N/A,OwnerUser
LN-20007582,https://www.loopnet.com/Listing/37715-Milton-Rd-S-Milton-WA/20007582/,37715 Milton Rd S,Milton,WA,98354,,Land,"$130,000",N/A,N/A,N/A,OwnerUser
LN-19962444,https://www.loopnet.com/Listing/2412-136th-Ave-Ct-E-Sumner-WA/19962444/,2412 136th Ave Ct E,Sumner,WA,98390,,Retail,"$5,560,000","3,010 SF",C,2020,Investment
