cs_id,model_id,score,date_obtained
LN-21058749,9,5,2021-03-10
LN-22154019,9,1,2021-03-10
LN-21959583,9,2,2021-03-10
LN-21468327,9,2,2021-03-10
LN-17212434,9,2,2021-03-10
LN-16122969,9,1,2021-03-10
LN-3884778,9,2,2021-03-10
LN-21666019,9,4,2021-03-10
LN-21459049,9,2,2021-03-10
LN-22249951,9,4,2021-03-10
LN-5650350,9,1,2021-03-10
LN-18771550,9,2,2021-03-10
LN-14192655,9,2,2021-03-10
LN-7336077,9,2,2021-03-10
LN-21769054,9,2,2021-03-10
LN-22243531,9,2,2021-03-10
LN-20742136,9,1,2021-03-10
LN-21975731,9,3,2021-03-10
LN-3945583,9,2,2021-03-10
LN-21481019,9,3,2021-03-10
LN-22145016,9,4,2021-03-10
LN-20956338,9,2,2021-03-10
LN-21571284,9,2,2021-03-10
LN-18710758,9,3,2021-03-10
LN-22087491,9,1,2021-03-10
LN-22202096,9,1,2021-03-10
LN-21548454,9,2,2021-03-10
LN-21948843,9,1,2021-03-10
LN-21816101,9,2,2021-03-10
LN-22076689,9,1,2021-03-10
LN-21177908,9,4,2021-03-10
LN-21889127,9,3,2021-03-10
LN-3726167,9,2,2021-03-10
LN-22244199,9,3,2021-03-10
LN-20058903,9,1,2021-03-10
LN-3958478,9,1,2021-03-10
LN-22093926,9,3,2021-03-10
LN-22076954,9,2,2021-03-10
LN-22173561,9,4,2021-03-10
