CS_ID,model_ID,Average Building Score,Assigned Cluster Ave Building Score,Address_Line,City,Postal_Code,Property_Type,Price,SquareFeet,$ per sq ft,Sale_Type,bg_geo_id,Average Block Group Score,AssignedClusterAveBlockGroupScore,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Percent Kids under 5,Kids under 5: 3 Miles,Percent Kids under 5: 3 Miles,Kids 5 to 9,Percent Kids 5 to 9,Kids 5 to 9: 3 Miles,Percent Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2
18918096,KMeansCluster,2,2.5,4412 6th Ave,Tacoma,98406,OfficeOfficeGeneral Retail Convenience StoreGeneral Retail RestaurantGeneral Retail Storefront Retail/OfficeOffice,695000,3648,191,Investment or Owner User,5.30531E+11,4,3.5,918,123058,52812,46,0.05,6869,0.056,51,0.056,7430,0.06,35.9,0.336,0.092,0.075,0.101,0.135,0.094,0.055,0.059,0.052,0,1812263.88,2043433.118,7775800.645
14109212,KMeansCluster,4,2.5,401 E 15th St,Tacoma,98421,Specialty,5750000,5500,1045.454545,OwnerUser,5.30531E+11,3,3.5,2414,69923,27762,11,0.005,3905,0.056,6,0.002,3940,0.056,35,0.319,0.081,0.074,0.1,0.131,0.1,0.07,0.068,0.057,0,5218886.43,7366521.897,6145680.143
18729587,KMeansCluster,2,2.5,6722 Yakima Ave,Tacoma,98408,OfficeOfficeGeneral Retail Daycare CenterGeneral Retail StorefrontGeneral Retail Storefront Retail/OfficeOffice,629900,3226,195,Investment or Owner User,5.30531E+11,3,3.5,1274,127633,46364,103,0.081,9569,0.075,47,0.037,9690,0.076,43.1,0.383,0.115,0.101,0.116,0.13,0.078,0.037,0.026,0.015,0,1701558.675,2229028.798,7584680.152
18181205,KMeansCluster,3,2.5,18811 38th Ave E,Tacoma,98446,Land,495000,5500,90,Investment,5.30531E+11,5,3.5,667,75025,24389,15,0.022,5703,0.076,21,0.031,6391,0.085,37.7,0.195,0.062,0.094,0.129,0.191,0.127,0.09,0.069,0.042,0,1441891.507,2749261.784,7032399.278
17569293,KMeansCluster,3,2.5,2401 N Pearl St,Tacoma,98406,Retail,4740000,43327,109,Investment NNN,5.30531E+11,4,3.5,811,91774,39281,53,0.065,5098,0.056,45,0.055,5331,0.058,49.3,0.307,0.087,0.072,0.103,0.135,0.101,0.063,0.068,0.063,0,3017830.292,3969503.004,7769202.663
16681285,KMeansCluster,2,2.5,1502 6th Ave,Tacoma,98405,Retail,795000,1747,455,Investment,5.30531E+11,4,3.5,969,99509,42030,76,0.078,5208,0.052,72,0.074,5922,0.06,34,0.35,0.097,0.073,0.1,0.131,0.09,0.055,0.062,0.044,0,1200550.041,3979711.313,5548897.065
18819368,KMeansCluster,1,2.5,16313 64th St E,Sumner,98390,Land,950000,5500,172.727273,Investment,5.30531E+11,2,3.5,909,42506,15896,13,0.014,2855,0.067,21,0.023,2461,0.058,56.5,0.192,0.091,0.092,0.106,0.149,0.122,0.07,0.099,0.08,0,1590613.445,1966450.538,7691859.491
18181149,KMeansCluster,3,2.5,21509 Mountain Hwy E,Spanaway,98387,Land,600000,5500,109.090909,Investment,5.30531E+11,3,3.5,1617,42406,13944,162,0.1,3340,0.079,100,0.062,3784,0.089,31.9,0.25,0.069,0.095,0.137,0.177,0.092,0.088,0.061,0.032,0,1353637.445,2692477.746,7035302.309
20058903,KMeansCluster,2,3,1401 S Union Ave,Tacoma,98405,Office,1750000,4886,358,Investment,5.30531E+11,2,3,1049,114373,48383,132,0.126,6445,0.056,97,0.092,6685,0.058,34.2,0.709,0.19,0.151,0.206,0.258,0.182,0.106,0.113,0.085,1,2628734.76,501545.2732,9016476.494
20432592,KMeansCluster,3,3,10209 Bridgeport Way SW,Lakewood,98499,Office,2800000,14437,194,Investment,5.30531E+11,4,3,1222,94621,36064,145,0.119,7901,0.084,56,0.046,6277,0.066,33.4,0.396,0.106,0.107,0.114,0.117,0.07,0.047,0.027,0.017,1,3186627.803,774707.4665,9596585.495
19374344,KMeansCluster,3,3,2213 N Warner St,Tacoma,98406,Specialty,1100000,5500,200,InvestmentorOwnerUser,5.30531E+11,3,3,712,92988,40399,42,0.059,5086,0.055,35,0.049,5189,0.056,44.8,0.331,0.087,0.069,0.1,0.129,0.097,0.062,0.068,0.055,1,2043251.157,1434264.619,8257825.91
20257323,KMeansCluster,4,3,1009-1013 Pacific Ave,Tacoma,98402,Retail,3500000,30368,115,Owner User,5.30531E+11,3,3,1899,89129,36525,55,0.029,4880,0.055,8,0.004,5710,0.064,41.4,0.358,0.087,0.076,0.1,0.133,0.091,0.052,0.061,0.043,1,3336608.991,1491089.371,9632314.247
20205607,KMeansCluster,3,3,6403-6413 Steilacoom Blvd SW,Lakewood,98499,Retail,1250000,9982,125,Investment or Owner User,5.30531E+11,3,3,660,97625,38336,52,0.079,7374,0.076,0,0,6287,0.064,42.3,0.359,0.099,0.1,0.109,0.127,0.081,0.058,0.039,0.027,1,2814313.456,818838.1604,9098675.905
14192655,KMeansCluster,2,2,11619 Pacific Hwy SW,Lakewood,98499,Retail,700000,4208,166,Owner User,5.30531E+11,3,2.333333333,1312,73212,28276,111,0.085,5521,0.075,64,0.049,5157,0.07,26.9,0.438,0.104,0.097,0.097,0.12,0.059,0.04,0.023,0.022,2,3398495.563,6410540.914,3061125.489
12170475,KMeansCluster,3,2,5804 384th St E,Eatonville,98328,Industrial,700000,26552,26,OwnerUser,5.30531E+11,1,2.333333333,2389,2389,903,111,0.046,111,0.046,181,0.076,181,0.076,47.7,0.238,0.05,0.059,0.132,0.161,0.151,0.157,0.034,0.019,2,5361660.217,8399802.059,1079685.708
12239253,KMeansCluster,1,2,6802 27th St W,University Place,98466,Land,6862442,5500,1247.716727,Investment,5.30531E+11,3,2.333333333,1153,97429,40132,145,0.126,6981,0.072,101,0.088,5494,0.056,28.5,0.322,0.096,0.085,0.1,0.145,0.092,0.057,0.053,0.051,2,7303493.017,9541642.412,6588103.24
16445283,KMeansCluster,1,2.038461538,12221 Shaw Rd,Puyallup,98374,Land,2300000,5500,418.181818,OwnerUser,5.30531E+11,4,3.5,3413,60854,22396,315,0.092,3809,0.063,189,0.055,3771,0.062,38.2,0.243,0.079,0.063,0.133,0.137,0.121,0.08,0.08,0.063,0,2558970.734,4296561.309,4142339.617
16681285,KMeansCluster,2,2.038461538,1502 6th Ave,Tacoma,98405,Retail,795000,1747,455,Investment,5.30531E+11,4,3.5,969,99509,42030,76,0.078,5208,0.052,72,0.074,5922,0.06,34,0.35,0.097,0.073,0.1,0.131,0.09,0.055,0.062,0.044,0,2402593.102,4183661.333,5509512.739
17033691,KMeansCluster,1,2.038461538,412 23rd St,Puyallup,98372,Land,800000,5500,145.454545,Investment,5.30531E+11,3,3.5,2689,59798,23233,342,0.127,3598,0.06,237,0.088,3172,0.053,27.2,0.25,0.085,0.086,0.114,0.146,0.11,0.064,0.088,0.057,0,2075013.734,4534251.254,5697083.04
17149505,KMeansCluster,2,2.038461538,5715 Wollochet Dr NW,Gig Harbor,98335,Office,997950,6000,166,Owner User,5.30531E+11,3,3.5,1853,27355,10629,99,0.053,1288,0.047,99,0.053,1408,0.051,40.4,0.197,0.059,0.065,0.088,0.15,0.142,0.082,0.089,0.127,0,1892887.617,4663257.913,5603053.075
17569293,KMeansCluster,3,2.038461538,2401 N Pearl St,Tacoma,98406,Retail,4740000,43327,109,Investment NNN,5.30531E+11,4,3.5,811,91774,39281,53,0.065,5098,0.056,45,0.055,5331,0.058,49.3,0.307,0.087,0.072,0.103,0.135,0.101,0.063,0.068,0.063,0,3366841.366,6550156.061,3827382.568
17692757,KMeansCluster,1,2.038461538,12716 86th Ave E,Puyallup,98373,Land,1150000,5500,209.090909,OwnerUser,5.30531E+11,4,3.5,1246,72712,26145,76,0.061,4402,0.061,73,0.059,4541,0.062,39.9,0.24,0.087,0.072,0.126,0.14,0.123,0.08,0.086,0.046,0,1330629.918,5218694.194,5827123.457
17868872,KMeansCluster,1,2.038461538,16504 64th St E,Sumner,98390,Land,3200000,5500,581.818182,OwnerUser,5.30531E+11,3,3.5,1586,46139,17301,66,0.042,2892,0.063,96,0.061,2775,0.06,43.9,0.202,0.091,0.09,0.11,0.151,0.115,0.07,0.098,0.074,0,1868309.572,5966465.246,4659747.131
18181149,KMeansCluster,3,2.038461538,21509 Mountain Hwy E,Spanaway,98387,Land,600000,5500,109.090909,Investment,5.30531E+11,3,3.5,1617,42406,13944,162,0.1,3340,0.079,100,0.062,3784,0.089,31.9,0.25,0.069,0.095,0.137,0.177,0.092,0.088,0.061,0.032,0,1292796.956,5676798.526,6562823.939
18181205,KMeansCluster,3,2.038461538,18811 38th Ave E,Tacoma,98446,Land,495000,5500,90,Investment,5.30531E+11,5,3.5,667,75025,24389,15,0.022,5703,0.076,21,0.031,6391,0.085,37.7,0.195,0.062,0.094,0.129,0.191,0.127,0.09,0.069,0.042,0,1379434.762,5677597.653,6641470.542
18288967,KMeansCluster,3,2.038461538,9402 Front St S,Lakewood,98499,Land,230000,5500,41.818182,Investment,5.30531E+11,4,3.5,751,110890,41454,56,0.075,8821,0.08,112,0.149,8080,0.073,31.3,0.399,0.114,0.102,0.118,0.119,0.069,0.038,0.027,0.015,0,1562888.513,5795916.536,6912718.138
18591703,KMeansCluster,3,2.038461538,5601 Soundview Dr,Gig Harbor,98335,Retail,1780000,6686,266,Owner User,5.30531E+11,3,3.5,1853,27355,10629,99,0.053,1288,0.047,99,0.053,1408,0.051,40.4,0.197,0.059,0.065,0.088,0.15,0.142,0.082,0.089,0.127,0,358928.4544,6202944.151,6053666.794
18710758,KMeansCluster,1,2.038461538,8217 S Hosmer St,Tacoma,98408,Land,1190000,5500,216.363636,Investment,5.30531E+11,3,3.5,905,137762,50662,42,0.046,10343,0.075,82,0.091,9921,0.072,45.6,0.385,0.116,0.106,0.116,0.126,0.076,0.033,0.026,0.015,0,519771.6565,6236618.442,6521496.433
18729587,KMeansCluster,2,2.038461538,6722 Yakima Ave,Tacoma,98408,OfficeOfficeGeneral Retail Daycare CenterGeneral Retail StorefrontGeneral Retail Storefront Retail/OfficeOffice,629900,3226,195,Investment or Owner User,5.30531E+11,3,3.5,1274,127633,46364,103,0.081,9569,0.075,47,0.037,9690,0.076,43.1,0.383,0.115,0.101,0.116,0.13,0.078,0.037,0.026,0.015,0,1048752.379,6226414.209,6917961.321
18819368,KMeansCluster,1,2.038461538,16313 64th St E,Sumner,98390,Land,950000,5500,172.727273,Investment,5.30531E+11,2,3.5,909,42506,15896,13,0.014,2855,0.067,21,0.023,2461,0.058,56.5,0.192,0.091,0.092,0.106,0.149,0.122,0.07,0.099,0.08,0,718295.3362,6325354.063,6763107.696
18918096,KMeansCluster,2,2.038461538,4412 6th Ave,Tacoma,98406,OfficeOfficeGeneral Retail Convenience StoreGeneral Retail RestaurantGeneral Retail Storefront Retail/OfficeOffice,695000,3648,191,Investment or Owner User,5.30531E+11,4,3.5,918,123058,52812,46,0.05,6869,0.056,51,0.056,7430,0.06,35.9,0.336,0.092,0.075,0.101,0.135,0.094,0.055,0.059,0.052,0,967243.4921,6415932.906,7008269.389
19374344,KMeansCluster,3,2.038461538,2213 N Warner St,Tacoma,98406,Specialty,1100000,5500,200,InvestmentorOwnerUser,5.30531E+11,3,3.5,712,92988,40399,42,0.059,5086,0.055,35,0.049,5189,0.056,44.8,0.331,0.087,0.069,0.1,0.129,0.097,0.062,0.068,0.055,0,722947.8416,6890070.008,7088450.162
19626041,KMeansCluster,2,2.038461538,1824 S Meridian St,Puyallup,98371,Office,575000,1728,333,Owner User,5.30531E+11,4,3.5,1853,76656,29210,138,0.074,4580,0.06,70,0.038,4040,0.053,33.7,0.259,0.088,0.077,0.126,0.137,0.115,0.064,0.081,0.053,0,1292654.663,7121691.579,7616457.113
19627971,KMeansCluster,1,2.038461538,12811 Pacific Ave S,Tacoma,98444,Retail,1470000,575,2557,Investment,5.30531E+11,3,3.5,1927,91619,33177,144,0.075,6493,0.071,0,0,6398,0.07,29.7,0.377,0.111,0.105,0.112,0.139,0.067,0.037,0.036,0.016,0,731155.1411,7178015.416,7071808.194
20058903,KMeansCluster,2,2.038461538,1401 S Union Ave,Tacoma,98405,Office,1750000,4886,358,Investment,5.30531E+11,2,3.5,1049,114373,48383,132,0.126,6445,0.056,97,0.092,6685,0.058,34.2,0.709,0.19,0.151,0.206,0.258,0.182,0.106,0.113,0.085,0,1143432.018,7644328.753,7281490.671
20107835,KMeansCluster,1,2.038461538,8717 Key Peninsula Hwy NW,Lakebay,98349,Land,815000,5500,148.181818,OwnerUser,5.30531E+11,4,3.5,1832,2734,989,33,0.018,85,0.031,131,0.072,170,0.062,40.5,0.209,0.091,0.082,0.148,0.106,0.118,0.046,0.109,0.091,0,1457798.712,7607060.597,7844623.902
20205607,KMeansCluster,3,2.038461538,6403-6413 Steilacoom Blvd SW,Lakewood,98499,Retail,1250000,9982,125,Investment or Owner User,5.30531E+11,3,3.5,660,97625,38336,52,0.079,7374,0.076,0,0,6287,0.064,42.3,0.359,0.099,0.1,0.109,0.127,0.081,0.058,0.039,0.027,0,1347274.452,7729688.678,7673208.622
20257323,KMeansCluster,4,2.038461538,1009-1013 Pacific Ave,Tacoma,98402,Retail,3500000,30368,115,Owner User,5.30531E+11,3,3.5,1899,89129,36525,55,0.029,4880,0.055,8,0.004,5710,0.064,41.4,0.358,0.087,0.076,0.1,0.133,0.091,0.052,0.061,0.043,0,2276079.8,8282405.099,6742690.252
20432592,KMeansCluster,3,2.038461538,10209 Bridgeport Way SW,Lakewood,98499,Office,2800000,14437,194,Investment,5.30531E+11,4,3.5,1222,94621,36064,145,0.119,7901,0.084,56,0.046,6277,0.066,33.4,0.396,0.106,0.107,0.114,0.117,0.07,0.047,0.027,0.017,0,1893823.346,8230983.692,7144842.897
20769216,KMeansCluster,1,2.038461538,12505 Canyon Rd E,Puyallup,98373,Land,740520,5500,134.64,Investment,5.30531E+11,4,3.5,1246,72712,26145,76,0.061,4402,0.061,73,0.059,4541,0.062,39.9,0.24,0.087,0.072,0.126,0.14,0.123,0.08,0.086,0.046,0,2062597.534,8266232.106,8425402.938
20886717,KMeansCluster,2,2.038461538,4023 S Orchard,Tacoma,98466,Industrial,2807600,23384,120,Investment,5.30531E+11,4,3.5,1699,143376,59266,189,0.111,8820,0.062,187,0.11,8896,0.062,31.8,0.343,0.098,0.088,0.107,0.13,0.095,0.051,0.052,0.036,0,2277937.507,8672123.681,7564353.665
21769054,KMeansCluster,2,2.038461538,5110 Chicago Ave SW,Tacoma,98499,Multifamily,5750000,5500,1045.454545,Investment,5.30531E+11,5,3.5,2464,63750,24638,229,0.093,5204,0.082,283,0.115,4529,0.071,28.9,0.427,0.106,0.093,0.101,0.121,0.063,0.041,0.023,0.025,0,4984928.527,10605501.06,7954339.848
11150078,KMeansCluster,2,2.333333333,5408 Steilacoom Blvd SW,Lakewood,98499,Retail,365000,4400,83,Owner User,5.30531E+11,5,3,1941,102851,39157,274,0.141,8549,0.083,215,0.111,7152,0.07,25.6,0.382,0.109,0.105,0.112,0.122,0.07,0.049,0.033,0.019,1,7879063.556,1373443.732,5789800.036
12170475,KMeansCluster,3,2.333333333,5804 384th St E,Eatonville,98328,Industrial,700000,26552,26,OwnerUser,5.30531E+11,1,3,2389,2389,903,111,0.046,111,0.046,181,0.076,181,0.076,47.7,0.238,0.05,0.059,0.132,0.161,0.151,0.157,0.034,0.019,1,6820050.267,357753.3786,5079135.924
14192655,KMeansCluster,2,2.333333333,11619 Pacific Hwy SW,Lakewood,98499,Retail,700000,4208,166,Owner User,5.30531E+11,3,3,1312,73212,28276,111,0.085,5521,0.075,64,0.049,5157,0.07,26.9,0.438,0.104,0.097,0.097,0.12,0.059,0.04,0.023,0.022,1,4825729.573,1692033.471,4817571.569
12239253,KMeansCluster,1,2.333333333,6802 27th St W,University Place,98466,Land,6862442,5500,1247.716727,Investment,5.30531E+11,3,3,1153,97429,40132,145,0.126,6981,0.072,101,0.088,5494,0.056,28.5,0.322,0.096,0.085,0.1,0.145,0.092,0.057,0.053,0.051,2,8470455.121,6279850.365,2085858.825
14109212,KMeansCluster,4,2.333333333,401 E 15th St,Tacoma,98421,Specialty,5750000,5500,1045.454545,OwnerUser,5.30531E+11,3,3,2414,69923,27762,11,0.005,3905,0.056,6,0.002,3940,0.056,35,0.319,0.081,0.074,0.1,0.131,0.1,0.07,0.068,0.057,2,6317868.381,5406738.045,384908.9809
15108367,KMeansCluster,2,2.333333333,2512 Holgate St,Tacoma,98402,Industrial,3895000,28800,135,Investment,5.30531E+11,3,3,816,107453,42360,26,0.032,6321,0.059,9,0.011,6903,0.064,35.3,0.367,0.096,0.082,0.104,0.127,0.096,0.048,0.049,0.031,2,4422112.969,4210568.997,2061075.809
