cs_id,model_id,score
18771550,3,4
20058903,3,2
20742136,3,2
20956338,3,1
21058749,3,2
21468327,3,2
21769054,3,4
LN-11150078,3,3
LN-12170475,3,2
LN-12239253,3,4
LN-14109212,3,4
LN-14192655,3,2
LN-15108367,3,2
LN-16122969,3,1
LN-16445283,3,1
LN-16681285,3,2
LN-17033691,3,1
LN-17149505,3,2
LN-17212434,3,2
LN-17569293,3,3
LN-17692757,3,1
LN-17868872,3,3
LN-18181149,3,3
LN-18181205,3,3
LN-18288967,3,3
LN-18591703,3,2
LN-18710758,3,2
LN-18729587,3,2
LN-18771550,3,2
LN-18819368,3,2
LN-18918096,3,2
LN-19374344,3,2
LN-19626041,3,2
LN-19627971,3,2
LN-20058903,3,2
LN-20107835,3,2
LN-20205607,3,2
LN-20257323,3,3
LN-20432592,3,2
LN-20637101,3,1
LN-20742136,3,3
LN-20769216,3,1
LN-20886717,3,2
LN-20956338,3,1
LN-21058749,3,2
LN-21081765,3,3
LN-21099885,3,1
LN-21177908,3,1
LN-21227269,3,1
LN-21229870,3,2
LN-21333154,3,4
LN-21423976,3,2
LN-21459049,3,4
LN-21468327,3,1
LN-21481019,3,2
LN-21548454,3,3
LN-21571284,3,1
LN-21666019,3,2
LN-21673589,3,3
LN-21769054,3,4
LN-21816101,3,2
LN-21889127,3,2
LN-21948843,3,3
LN-21959583,3,2
LN-21975731,3,2
LN-22076689,3,2
LN-22076954,3,4
LN-22087491,3,2
LN-22093926,3,3
LN-22145016,3,1
LN-22154019,3,2
LN-22173561,3,3
LN-22202096,3,2
LN-22243531,3,3
LN-22244199,3,2
LN-22249951,3,2
LN-3726167,3,2
LN-3788534,3,2
LN-3833911,3,3
LN-3839013,3,1
LN-3884778,3,1
LN-3945583,3,1
LN-3958478,3,1
LN-5650350,3,2
LN-7336077,3,2
