"","","full_bld_score"
"1","18771550","4"
"2","20058903","2"
"3","20742136","1"
"4","20956338","3"
"5","21058749","2"
"6","21468327","2"
"7","21769054","4"
"8","LN-11150078","3"
"9","LN-12170475","3"
"10","LN-12239253","1"
"11","LN-14109212","4"
"12","LN-14192655","2"
"13","LN-15108367","4"
"14","LN-16122969","1"
"15","LN-16445283","1"
"16","LN-16681285","2"
"17","LN-17033691","2"
"18","LN-17149505","2"
"19","LN-17212434","2"
"20","LN-17569293","4"
"21","LN-17692757","2"
"22","LN-17868872","1"
"23","LN-18181149","2"
"24","LN-18181205","3"
"25","LN-18288967","3"
"26","LN-18591703","2"
"27","LN-18710758","2"
"28","LN-18729587","2"
"29","LN-18771550","2"
"30","LN-18819368","2"
"31","LN-18918096","2"
"32","LN-19374344","2"
"33","LN-19626041","2"
"34","LN-19627971","1"
"35","LN-20058903","2"
"36","LN-20107835","2"
"37","LN-20205607","4"
"38","LN-20257323","4"
"39","LN-20432592","4"
"40","LN-20637101","1"
"41","LN-20742136","3"
"42","LN-20769216","2"
"43","LN-20886717","4"
"44","LN-20956338","3"
"45","LN-21058749","2"
"46","LN-21081765","3"
"47","LN-21099885","4"
"48","LN-21177908","4"
"49","LN-21227269","4"
"50","LN-21229870","2"
"51","LN-21333154","4"
"52","LN-21423976","2"
"53","LN-21459049","1"
"54","LN-21468327","4"
"55","LN-21481019","1"
"56","LN-21548454","3"
"57","LN-21571284","2"
"58","LN-21666019","2"
"59","LN-21673589","3"
"60","LN-21769054","4"
"61","LN-21816101","4"
"62","LN-21889127","4"
"63","LN-21948843","3"
"64","LN-21959583","2"
"65","LN-21975731","2"
"66","LN-22076689","2"
"67","LN-22076954","4"
"68","LN-22087491","2"
"69","LN-22093926","4"
"70","LN-22145016","2"
"71","LN-22154019","2"
"72","LN-22173561","4"
"73","LN-22202096","4"
"74","LN-22243531","3"
"75","LN-22244199","2"
"76","LN-22249951","2"
"77","LN-3726167","4"
"78","LN-3788534","2"
"79","LN-3833911","3"
"80","LN-3839013","2"
"81","LN-3884778","1"
"82","LN-3945583","1"
"83","LN-3958478","4"
"84","LN-5650350","2"
"85","LN-7336077","2"
