Block.Group.ID,predict.score
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,3
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,3
5.30E+11,3
5.30E+11,3
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,3
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,3
5.30E+11,3
5.30E+11,3
5.30E+11,4
5.30E+11,3
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,5
5.30E+11,5
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,4
5.30E+11,3
