CS_ID,url,address,Property_info
LN-19219393,https://www.loopnet.com/Listing/7714-176th-St-Puyallup-WA/19219393/,"7714 176th St, Puyallup, WA 98375","{'Sale Type': 'Investment', 'Property Type': 'Retail', 'Property Subtype': 'Service Station', 'Building Size': '3,000 SF', 'Building Class': 'B', 'Year Built': '2020', 'Price': '$4,544,444', 'Price Per SF': '$1,515', 'Cap Rate': '4.50%', 'Year-1 NOI': '$204,500', 'Percent Leased': '100%', 'Building Height': '1 Story', 'Building FAR': '0.07', 'Land Acres': '0.95 AC'}"
LN-21468327,https://www.loopnet.com/Listing/420-N-Meridian-Puyallup-WA/21468327/,"420 N Meridian, Puyallup, WA 98371","{'Sale Type': 'Owner User', 'Property Type': 'Office', 'Building Size': '4,224 SF', 'Building Class': 'B', 'Year Built/Renovated': '1961/2007', 'Price': '$995,000', 'Price Per SF': '$236', 'Percent Leased': 'Vacant', 'Tenancy': 'Multiple', 'Building Height': '1 Story', 'Typical Floor Size': '4,224 SF', 'Building FAR': '0.32', 'Land Acres': '0.30 AC'}"
LN-21467470,https://www.loopnet.com/Listing/8819-Pacific-Ave-Tacoma-WA/21467470/,"8819 Pacific Ave, Tacoma, WA 98444","{'Price': '$3,400,000', 'BuildingClass': 'C', 'PricePerUnit': '$161,905', 'LotSize': '0.86AC', 'SaleType': 'Investment', 'BuildingSize': '14,610SF', 'CapRate': '6.25%', 'AverageOccupancy': '100%', 'No.Units': '21', 'No.Stories': '3', 'PropertyType': 'Multifamily', 'YearBuilt': '2002', 'PropertySubtype': 'Apartment', 'ParkingRatio': '2.6/1,000SF', 'ApartmentStyle': 'LowRise', 'OpportunityZone': 'No'}"
LN-21460973,https://www.loopnet.com/Listing/1604-S-Meridian-Puyallup-WA/21460973/,"1604 S Meridian, Puyallup, WA 98371","{'Price': '$900,000', 'PropertySubtype': 'Commercial', 'SaleType': 'Investment', 'ProposedUse': 'OfficeGeneralFreestandingMedical', 'No.Lots': '1', 'TotalLotSize': '0.76AC', 'PropertyType': 'Land', 'OpportunityZone': 'No'}"
LN-21459049,https://www.loopnet.com/Listing/2901-2915-Bridgeport-Way-W-University-Place-WA/21459049/,"2901-2915 Bridgeport Way W, University Place, WA 98466","{'Price': '$9,800,000', 'LotSize': '2.34AC', 'PricePerBed': '$9,800,000', 'BuildingSize': '29,962SF', 'SaleType': 'Investment', 'No.Beds': '1', 'CapRate': '6.18%', 'No.Stories': '1', 'PropertyType': 'HealthCare', 'YearBuilt/Renovated': '1969/2017', 'PropertySubtype': 'SkilledNursingFacility', 'ParkingRatio': '0.56/1,000SF', 'BuildingClass': 'C', 'OpportunityZone': 'No'}"
LN-21423976,https://www.loopnet.com/Listing/808-N-2nd-St-Tacoma-WA/21423976/,"808 N 2nd St, Tacoma, WA 98403","{'Sale Type': 'Investment or Owner User', 'Property Type': 'Office', 'Building Size': '2,044 SF', 'Building Class': 'B', 'Year Built': '1985', 'Price': '$899,000', 'Price Per SF': '$440', 'Tenancy': 'Single', 'Building Height': '1 Story', 'Typical Floor Size': '2,044 SF', 'Building FAR': '0.67', 'Land Acres': '0.07 AC'}"
LN-21355235,https://www.loopnet.com/Listing/3906-S-74th-St-Tacoma-WA/21355235/,"3906 S 74th St, Tacoma, WA 98409","{'Sale Type': 'Investment', 'Property Type': 'Office', 'Building Size': '24,440 SF', 'Building Class': 'B', 'Year Built': '1995', 'Price': '$3,295,000', 'Price Per SF': '$135', 'Cap Rate': '6.99%', 'Year-1 NOI': '$230,181', 'Percent Leased': '100%', 'Tenancy': 'Multiple', 'Building Height': '2 Stories', 'Typical Floor Size': '12,220 SF', 'Building FAR': '0.22', 'Land Acres': '2.53 AC'}"
LN-21333154,https://www.loopnet.com/Listing/120-136th-St-S-Tacoma-WA/21333154/,"120 136th St S, Tacoma, WA 98444","{'Price': '$8,300,000', 'BuildingClass': 'C', 'PricePerUnit': '$129,688', 'LotSize': '2.23AC', 'SaleType': 'Investment', 'BuildingSize': '39,450SF', 'CapRate': '4.13%', 'AverageOccupancy': '100%', 'GrossRentMultiplier': '12', 'No.Stories': '2', 'No.Units': '64', 'YearBuilt/Renovated': '1969/2015', 'PropertyType': 'Multifamily', 'ParkingRatio': '2.18/1,000SF', 'PropertySubtype': 'Apartment', 'OpportunityZone': 'Yes', 'ApartmentStyle': 'Garden', '': ''}"
LN-21281360,https://www.loopnet.com/Listing/732-Broadway-Tacoma-WA/21281360/,"732 Broadway, Tacoma, WA 98402","{'Price': '$525,000', 'BuildingClass': 'B', 'UnitSize': '2,950SF', 'Floors': '3', 'No.Units': '1', 'TypicalFloorSize': '6,000SF', 'TotalBuildingSize': '18,000SF', 'YearBuilt': '1919', 'PropertyType': 'Office(Condo)', 'LotSize': '0.14AC', 'SaleType': 'OwnerUser', 'OpportunityZone': 'Yes'}"
LN-21271463,https://www.loopnet.com/Listing/3130-S-23rd-St-Tacoma-WA/21271463/,"3130 S 23rd St, Tacoma, WA 98405","{'Sale Type': 'Investment', 'Property Type': 'Retail', 'Property Subtype': 'Supermarket', 'Building Size': '61,484 SF', 'Building Class': 'B', 'Year Built': '1991', 'Price': '$13,700,000', 'Price Per SF': '$223', 'Percent Leased': '100%', 'Tenancy': 'Multiple', 'Building Height': '1 Story', 'Loading Docks': '2 Exterior', 'Building FAR': '0.25', 'Land Acres': '5.62 AC'}"
LN-21237326,https://www.loopnet.com/Listing/3205-E-D-St-Tacoma-WA/21237326/,"3205 E D St, Tacoma, WA 98404","{'Price': '$765,000', 'ApartmentStyle': 'LowRise', 'PricePerUnit': '$191,250', 'BuildingClass': 'C', 'SaleType': 'Investment', 'LotSize': '0.18AC', 'CapRate': '6.85%', 'BuildingSize': '3,008SF', 'GrossRentMultiplier': '11', 'No.Stories': '2', 'No.Units': '4', 'YearBuilt/Renovated': '1979/2016', 'PropertyType': 'Multifamily', 'ParkingRatio': '1.99/1,000SF', 'PropertySubtype': 'Apartment', 'OpportunityZone': 'No'}"
LN-21229870,https://www.loopnet.com/Listing/2202-84th-St-E-Lakewood-WA/21229870/,"2202 84th St E, Lakewood, WA 98499","{'Sale Type': 'Investment or Owner User', 'Property Type': 'Retail', 'Property Subtype': 'RestaurantRestaurantGeneral Retail FreestandingRestaurant', 'Building Size': '4,995 SF', 'Building Class': 'B', 'Year Built': '2000', 'Price': '$1,499,000', 'Price Per SF': '$300', 'Cap Rate': '6%', 'Year-1 NOI': '$89,940', 'Tenancy': 'Single', 'Building Height': '1 Story', 'Building FAR': '0.17', 'Land Acres': '0.66 AC'}"
LN-21227269,https://www.loopnet.com/Listing/1720-S-7th-St-Tacoma-WA/21227269/,"1720 S 7th St, Tacoma, WA 98405","{'Price': '$5,000,000', 'No.Stories': '2', 'PricePerSF': '$134', 'YearBuilt': '1950', 'SaleType': 'InvestmentorOwnerUser', 'Tenancy': 'Single', 'PropertyType': 'Industrial', 'ParkingRatio': '0.4/1,000SF', 'PropertySubtype': 'Manufacturing', 'ClearCeilingHeight': '14FT-18FT', 'BuildingClass': 'C', 'No.Dock-HighDoors/Loading': '1', 'LotSize': '0.81AC', 'No.DriveIn/Grade-LevelDoors': '2', 'RentableBuildingArea': '37,450SF', 'OpportunityZone': 'No'}"
LN-21220699,https://www.loopnet.com/Listing/10625-Sheridan-Ave-S-Tacoma-WA/21220699/,"10625 Sheridan Ave S, Tacoma, WA 98444","{'Price': '$400,000', 'BuildingSize': '1,686SF', 'PricePerUnit': '$200,000', 'AverageOccupancy': '100%', 'SaleType': 'Investment', 'No.Stories': '1', 'CapRate': '6.79%', 'YearBuilt/Renovated': '1952/2020', 'GrossRentMultiplier': '13', 'ParkingRatio': '3.56/1,000SF', 'No.Units': '2', 'OpportunityZone': 'No', 'PropertyType': 'Multifamily', '': ''}"
LN-21219154,https://www.loopnet.com/Listing/1014-1016-Martin-Luther-King-Jr-Way-Tacoma-WA/21219154/,"1014-1016 Martin Luther King Jr Way, Tacoma, WA 98405","{'Price': '$2,200,000', 'BuildingClass': 'C', 'PricePerUnit': '$183,333', 'LotSize': '0.15AC', 'SaleType': 'Investment', 'BuildingSize': '8,900SF', 'No.Units': '12', 'No.Stories': '2', 'PropertyType': 'Multifamily', 'YearBuilt/Renovated': '1911/2007', 'PropertySubtype': 'Apartment', 'OpportunityZone': 'Yes', 'ApartmentStyle': 'LowRise', '': ''}"
LN-21216969,https://www.loopnet.com/Listing/1302-S-23rd-St-Tacoma-WA/21216969/,"1302 S 23rd St, Tacoma, WA 98405","{'Sale Type': 'Investment or Owner User', 'Property Type': 'Retail', 'Property Subtype': 'Storefront Retail/Residential', 'Building Size': '3,300 SF', 'Building Class': 'C', 'Year Built': '1955', 'Price': '$699,950', 'Price Per SF': '$212', 'Percent Leased': 'Vacant', 'Tenancy': 'Multiple', 'Building Height': '2 Stories', 'Building FAR': '0.34', 'Land Acres': '0.22 AC'}"
LN-21180300,https://www.loopnet.com/Listing/6249-Tacoma-Mall-Blvd-Tacoma-WA/21180300/,"6249 Tacoma Mall Blvd, Tacoma, WA 98409","{'Sale Type': 'Investment NNN', 'Property Type': 'Retail', 'Property Subtype': 'FreestandingFreestandingGeneral Retail StorefrontIndustrial DistributionFlexLight DistributionFreestanding', 'Building Size': '6,703 SF', 'Building Class': 'B', 'Year Built/Renovated': '1990/2015', 'Price': '$2,000,528', 'Price Per SF': '$298', 'Cap Rate': '6.25%', 'Year-1 NOI': '$125,033', 'Tenancy': 'Single', 'Building Height': '1 Story', 'Building FAR': '0.31', 'Land Acres': '0.49 AC'}"
LN-21178181,https://www.loopnet.com/Listing/9918-162nd-St-Ct-E-Puyallup-WA/21178181/,"9918 162nd St Ct E, Puyallup, WA 98375","{'Price': '$392,500', 'BuildingClass': 'B', 'UnitSize': '2,469SF', 'Floors': '1', 'No.Units': '1', 'TypicalFloorSize': '24,240SF', 'TotalBuildingSize': '24,240SF', 'YearBuilt': '2000', 'PropertyType': 'Industrial(Condo)', 'LotSize': '2.24AC', 'PropertySubtype': 'Warehouse', 'ParkingRatio': '0.83/1,000SF', 'SaleType': 'InvestmentorOwnerUser', 'OpportunityZone': 'No'}"
LN-21177960,https://www.loopnet.com/Listing/18406-Veterans-Memorial-Dr-Bonney-Lake-WA/21177960/,"18406 Veterans Memorial Dr, Bonney Lake, WA 98391","{'Price': '$750,000', 'PropertySubtype': 'Commercial', 'SaleType': 'Investment', 'ProposedUse': 'CommercialRetailOfficeApartmentUnitsRestaurant', 'No.Lots': '1', 'TotalLotSize': '1.65AC', 'PropertyType': 'Land', 'OpportunityZone': 'No'}"
