CS_ID,url,address,Property Type,Price,Square Feet,Building Class,Year Built,Sale Type
LN-19219393,https://www.loopnet.com/Listing/7714-176th-St-Puyallup-WA/19219393/,"7714 176th St, Puyallup, WA 98375",Retail,"$4,544,444","3,000 SF",B,2020,Investment
LN-21468327,https://www.loopnet.com/Listing/420-N-Meridian-Puyallup-WA/21468327/,"420 N Meridian, Puyallup, WA 98371",Office,"$995,000","4,224 SF",B,1961/2007,Owner User
LN-21467470,https://www.loopnet.com/Listing/8819-Pacific-Ave-Tacoma-WA/21467470/,"8819 Pacific Ave, Tacoma, WA 98444",Multifamily,"$3,400,000",N/A,C,2002,Investment
LN-21460973,https://www.loopnet.com/Listing/1604-S-Meridian-Puyallup-WA/21460973/,"1604 S Meridian, Puyallup, WA 98371",Land,"$900,000",N/A,N/A,N/A,Investment
LN-21459049,https://www.loopnet.com/Listing/2901-2915-Bridgeport-Way-W-University-Place-WA/21459049/,"2901-2915 Bridgeport Way W, University Place, WA 98466",HealthCare,"$9,800,000",N/A,C,1969/2017,Investment
LN-21423976,https://www.loopnet.com/Listing/808-N-2nd-St-Tacoma-WA/21423976/,"808 N 2nd St, Tacoma, WA 98403",Office,"$899,000","2,044 SF",B,1985,Investment or Owner User
LN-21355235,https://www.loopnet.com/Listing/3906-S-74th-St-Tacoma-WA/21355235/,"3906 S 74th St, Tacoma, WA 98409",Office,"$3,295,000","24,440 SF",B,1995,Investment
LN-21333154,https://www.loopnet.com/Listing/120-136th-St-S-Tacoma-WA/21333154/,"120 136th St S, Tacoma, WA 98444",Multifamily,"$8,300,000",N/A,C,1969/2015,Investment
LN-21281360,https://www.loopnet.com/Listing/732-Broadway-Tacoma-WA/21281360/,"732 Broadway, Tacoma, WA 98402",Office(Condo),"$525,000",N/A,B,1919,OwnerUser
LN-21271463,https://www.loopnet.com/Listing/3130-S-23rd-St-Tacoma-WA/21271463/,"3130 S 23rd St, Tacoma, WA 98405",Retail,"$13,700,000","61,484 SF",B,1991,Investment
