CS_ID,url,Address_Line,City,State,Postal_Code,GeoCode,Property_Type,Price,SquareFeet,Building_Class,Year_Built,Parking_Ratio,Sale_Type
LN-19219393,https://www.loopnet.com/Listing/7714-176th-St-Puyallup-WA/19219393/,7714 176th St,Puyallup,WA,98375,53053073131,Retail,4544444,3000,B,2020,N/A,Investment
LN-21796700,https://www.loopnet.com/Listing/9401-Wa-302-Gig-Harbor-WA/21796700/,9401 Wa-302,Gig Harbor,WA,98329,,Industrial,795000,3575,C,1940,"4.2/1,000SF",Investment
LN-21769054,https://www.loopnet.com/Listing/5110-Chicago-Ave-SW-Tacoma-WA/21769054/,5110 Chicago Ave SW,Tacoma,WA,98499,53053071806,Multifamily,5750000,,N/A,1977,"2.36/1,000SF",Investment
LN-21673589,https://www.loopnet.com/Listing/708-Market-St-Tacoma-WA/21673589/,708 Market St,Tacoma,WA,98402,53053061601,Multifamily(Condo),510000,,A,2007,"0.41/1,000SF",InvestmentorOwnerUser
LN-21666857,https://www.loopnet.com/Listing/5021-S-Orchard-St-Tacoma-WA/21666857/,5021 S Orchard St,Tacoma,WA,98467,53053062801,Multifamily,689000,,B,1984/1990,"1.61/1,000SF",Investment
LN-21666019,https://www.loopnet.com/Listing/40724-S-Silver-Lake-Rd-E-Eatonville-WA/21666019/,40724 S Silver Lake Rd E,Eatonville,WA,98328,53053073006,Multifamily,950000,,C,1950,"3.52/1,000SF",Investment
LN-21634551,https://www.loopnet.com/Listing/Spanaway-Contractor-Yard-with-2-Offices/21634551/,Spanaway Contractor Yard with 2 Offices,N/A,N/A,N/A,,N/A,650000,,N/A,N/A,N/A,InvestmentorOwnerUser
LN-21572038,https://www.loopnet.com/Listing/7202-McKinley-Ave-Tacoma-WA/21572038/,7202 McKinley Ave,Tacoma,WA,98404,53053063401,Specialty,1200000,,C,1980,"2.27/1,000SF",Investment
LN-21571284,https://www.loopnet.com/Listing/10615-Canyon-Rd-E-Puyallup-WA/21571284/,10615 Canyon Rd E,Puyallup,WA,98373,53053071206,Land,500000,,N/A,N/A,N/A,Investment
LN-21548454,https://www.loopnet.com/Listing/3414-Pacific-Ave-Tacoma-WA/21548454/,3414 Pacific Ave,Tacoma,WA,98418,53053061900,Retail,500000,2604,C,1940,N/A,Owner User
LN-21481019,https://www.loopnet.com/Listing/18407-Pacific-Ave-S-Spanaway-WA/21481019/,18407 Pacific Ave S,Spanaway,WA,98387,53053071416,Office,2550000,24064,B,1985,N/A,Investment
LN-21468327,https://www.loopnet.com/Listing/420-N-Meridian-Puyallup-WA/21468327/,420 N Meridian,Puyallup,WA,98371,53053073407,Office,995000,4224,B,1961/2007,N/A,Owner User
LN-21467470,https://www.loopnet.com/Listing/8819-Pacific-Ave-Tacoma-WA/21467470/,8819 Pacific Ave,Tacoma,WA,98444,53053063402,Multifamily,3400000,,C,2002,"2.6/1,000SF",Investment
LN-21459049,https://www.loopnet.com/Listing/2901-2915-Bridgeport-Way-W-University-Place-WA/21459049/,2901-2915 Bridgeport Way W,University Place,WA,98466,53053072311,HealthCare,9800000,,C,1969/2017,"0.56/1,000SF",Investment
LN-21423976,https://www.loopnet.com/Listing/808-N-2nd-St-Tacoma-WA/21423976/,808 N 2nd St,Tacoma,WA,98403,53053061502,Office,899000,2044,B,1985,N/A,Investment or Owner User
LN-21355235,https://www.loopnet.com/Listing/3906-S-74th-St-Tacoma-WA/21355235/,3906 S 74th St,Tacoma,WA,98409,53053062802,Office,3295000,24440,B,1995,N/A,Investment
LN-21333154,https://www.loopnet.com/Listing/120-136th-St-S-Tacoma-WA/21333154/,120 136th St S,Tacoma,WA,98444,53053071503,Multifamily,7900000,,C,1969/2015,"2.13/1,000SF",Investment
LN-21281360,https://www.loopnet.com/Listing/732-Broadway-Tacoma-WA/21281360/,732 Broadway,Tacoma,WA,98402,53053061601,Office(Condo),525000,,B,1919,N/A,OwnerUser
LN-21271463,https://www.loopnet.com/Listing/3130-S-23rd-St-Tacoma-WA/21271463/,3130 S 23rd St,Tacoma,WA,98405,53053061100,Retail,13700000,61484,B,1991,N/A,Investment
LN-21229870,https://www.loopnet.com/Listing/2202-84th-St-S-Lakewood-WA/21229870/,2202 84th St S,Lakewood,WA,98499,53053071808,Retail,1499000,4995,B,2000,N/A,Investment or Owner User
LN-21227269,https://www.loopnet.com/Listing/1720-S-7th-St-Tacoma-WA/21227269/,1720 S 7th St,Tacoma,WA,98405,53053061300,Industrial,4950000,37450,C,1950,"0.4/1,000SF",InvestmentorOwnerUser
LN-21220699,https://www.loopnet.com/Listing/10625-Sheridan-Ave-S-Tacoma-WA/21220699/,10625 Sheridan Ave S,Tacoma,WA,98444,53053071705,Multifamily,400000,,N/A,1952/2020,"3.56/1,000SF",Investment
LN-21219154,https://www.loopnet.com/Listing/1014-1016-Martin-Luther-King-Jr-Way-Tacoma-WA/21219154/,1014-1016 Martin Luther King Jr Way,Tacoma,WA,98405,53053061400,Multifamily,2200000,,C,1911/2007,N/A,Investment
LN-21180300,https://www.loopnet.com/Listing/6249-Tacoma-Mall-Blvd-Tacoma-WA/21180300/,6249 Tacoma Mall Blvd,Tacoma,WA,98409,53053063000,Retail,2000528,6703,B,1990/2015,N/A,Investment NNN
LN-21178181,https://www.loopnet.com/Listing/9918-162nd-St-Ct-E-Puyallup-WA/21178181/,9918 162nd St Ct E,Puyallup,WA,98375,,Industrial(Condo),392500,,B,2000,"0.83/1,000SF",InvestmentorOwnerUser
LN-21177960,https://www.loopnet.com/Listing/18406-Veterans-Memorial-Dr-Bonney-Lake-WA/21177960/,18406 Veterans Memorial Dr,Bonney Lake,WA,98391,,Land,750000,,N/A,N/A,N/A,Investment
LN-21155118,https://www.loopnet.com/Listing/6701-6707-Tyee-Dr-NW-Gig-Harbor-WA/21155118/,6701-6707 Tyee Dr NW,Gig Harbor,WA,98332,53053072504,Retail,3450000,14198,C,1963,N/A,Investment
LN-21099885,https://www.loopnet.com/Listing/1950-S-State-St-Tacoma-WA/21099885/,1950 S State St,Tacoma,WA,98405,53053061700,Flex,17250000,242000,B,1974,"1.65/1,000SF",InvestmentorOwnerUser
LN-21081765,https://www.loopnet.com/Listing/119-Mashell-Ave-S-Eatonville-WA/21081765/,119 Mashell Ave S,Eatonville,WA,98328,53053073200,Retail,359000,1464,B,1950/2020,N/A,Investment
LN-21058749,https://www.loopnet.com/Listing/4201-S-Steele-St-Tacoma-WA/21058749/,4201 S Steele St,Tacoma,WA,98409,53053062600,Retail,3300000,6737,B,1993,N/A,Owner User
LN-21027824,https://www.loopnet.com/Listing/215-23rd-Ave-SW-Puyallup-WA/21027824/,215 23rd Ave SW,Puyallup,WA,98371,53053073405,Multifamily,4100000,,C,1993,"1.84/1,000SF",Investment
LN-20956338,https://www.loopnet.com/Listing/4404-S-Meridian-Puyallup-WA/20956338/,4404 S Meridian,Puyallup,WA,98373,53053071207,Retail,6230000,14355,N/A,2002,N/A,Investment
LN-20769216,https://www.loopnet.com/Listing/8113-John-Dower-Rd-SW-Lakewood-WA/20769216/,8113 John Dower Rd SW,Lakewood,WA,98499,53053071803,Multifamily,1950000,,C,1965/1978,"0.37/1,000SF",Investment
LN-20742136,https://www.loopnet.com/Listing/9810-Pacific-Ave-Tacoma-WA/20742136/,9810 Pacific Ave,Tacoma,WA,98444,53053071705,Retail,2370000,1682,B,2017,N/A,Investment
LN-20637101,https://www.loopnet.com/Listing/11311-164th-St-E-Puyallup-WA/20637101/,11311 164th St E,Puyallup,WA,98374,53053073111,IndustrialOfficeIndustrialLiveWorkUnit,1500000,2113,C,1976/1986,N/A,InvestmentorOwnerUser
LN-20292461,https://www.loopnet.com/Listing/Phelps-Tire-Factory/20292461/,Phelps Tire Factory,N/A,N/A,N/A,,N/A,2200000,,N/A,N/A,N/A,Investment
LN-20257323,https://www.loopnet.com/Listing/1009-1013-Pacific-Ave-Tacoma-WA/20257323/,1009-1013 Pacific Ave,Tacoma,WA,98402,53053061601,Retail,3500000,30368,C,1928,N/A,Owner User
LN-20205607,https://www.loopnet.com/Listing/6403-6413-Steilacoom-Blvd-SW-Lakewood-WA/20205607/,6403-6413 Steilacoom Blvd SW,Lakewood,WA,98499,53053071803,Retail,1250000,9982,C,1944,N/A,Investment or Owner User
LN-20204306,https://www.loopnet.com/Listing/Nisqually-Power-Station/20204306/,Nisqually Power Station,N/A,N/A,N/A,,N/A,3650000,,N/A,N/A,N/A,InvestmentorOwnerUser
LN-20107835,https://www.loopnet.com/Listing/8717-Key-Peninsula-Hwy-NW-Lakebay-WA/20107835/,8717 Key Peninsula Hwy NW,Lakebay,WA,98349,53053072602,Land,815000,,N/A,N/A,N/A,OwnerUser
LN-20007582,https://www.loopnet.com/Listing/37715-Milton-Rd-S-Milton-WA/20007582/,37715 Milton Rd S,Milton,WA,98354,,Land,130000,,N/A,N/A,N/A,OwnerUser
LN-19962444,https://www.loopnet.com/Listing/2412-136th-Ave-Ct-E-Sumner-WA/19962444/,2412 136th Ave Ct E,Sumner,WA,98390,,Retail,5560000,3010,C,2020,N/A,Investment
LN-19874406,https://www.loopnet.com/Listing/6319-112th-St-E-Puyallup-WA/19874406/,6319 112th St E,Puyallup,WA,98373,53053071206,Industrial,1750000,8302,C,1977,"1.81/1,000SF",OwnerUser
LN-19859913,https://www.loopnet.com/Listing/6314-19th-St-W-Fircrest-WA/19859913/,6314 19th St W,Fircrest,WA,98466,,Office(Condo),350000,,C,1985,"0.85/1,000SF",InvestmentorOwnerUser
LN-19859248,https://www.loopnet.com/Listing/2418-136th-Avenue-Ct-E-Sumner-WA/19859248/,2418 136th Avenue Ct E,Sumner,WA,98390,,Retail,2880000,2200,C,2020,N/A,Investment
